NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
1200.0,AIRPORT HEIGHTS DR,Anchorage,AK,99508,
20815.0,STERLING HWY,HAPPY VALLEY,AK,99639,
8341.0,PIONEER DR,Anchorage,AK,99504,
2521.0,LEGACY DR,Anchorage,AK,99516,
9401.0,STRATHMORE DR,Anchorage,AK,99502,
1576.0,BIRCHWOOD ST,Anchorage,AK,99508,
9130.0,GOLOVIN ST,Anchorage,AK,99507,
5300.0,E 4TH AVE,Anchorage,AK,99508,
15443.0,OLD GLENN HWY,Anchorage,AK,99577,
4200.0,E 4TH AVE,Anchorage,AK,99508,
21218.0,BARON DR,Anchorage,AK,99567,
7049.0,ARCTIC BLVD,Anchorage,AK,99518,
1711.0,LORE RD,Anchorage,AK,99507,
27665.0,MINNICK RD,KALIFORNSKY,AK,99610,
241.0,N C ST,Anchorage,AK,99501,
46401.0,SHAWNA LN,KALIFORNSKY,AK,99611,
6110.0,E 12TH AVE,Anchorage,AK,99504,
11640.0,ELLEN AVE,Anchorage,AK,99515,
2010.0,SHANNON LN,HOMER,AK,99603,
8203.0,MENTRA ST,Anchorage,AK,99518,
51632.0,FISH ST,NIKISKI,AK,99611,
4250.0,LAKESHORE DR,Anchorage,AK,99502,
3310.0,HAWKINS AVE,KETCHIKAN,AK,99901,
11355.0,TULIN PARK LOOP,Anchorage,AK,99516,
10603.0,BRIGANTINE CIR,Anchorage,AK,99515,
600.0,CORDOVA ST,Anchorage,AK,99501,
3449.0,GIBSTAY CIR,Anchorage,AK,99516,
3702.0,GALACTICA DR,Anchorage,AK,99517,
9139.0,CRANBERRY ST,Anchorage,AK,99502,
2821.0,LEXINGTON CIR,Anchorage,AK,99502,
8823.0,JEWEL TERRACE ST,Anchorage,AK,99502,
6130.0,COUNTRY LANE CIR,Anchorage,AK,99504,
407.0,W NORTHERN LIGHTS BLVD,Anchorage,AK,99503,
10300.0,COMPASS CIR,Anchorage,AK,99515,
800.0,MEDFRA ST,Anchorage,AK,99501,
3550.0,W DIMOND BLVD,Anchorage,AK,99502,
3240.0,PENLAND PKWY,Anchorage,AK,99508,
,GEORGE INLET;COON CO,KETCHIKAN,AK,99901,
935.0,BALEEN AVE,KENAI,AK,99611,
1610.0,EASTRIDGE DR,Anchorage,AK,99501,
3433.0,ALEXANDER AVE,Anchorage,AK,99508,
391.0,HIGGINS SPUR,KETCHIKAN,AK,99901,
