NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
3322,LUDWIG ST,LITTLE ROCK,AR,72204,
474,N   CORAL CANYON LOOP,FAYETTEVILLE,AR,72704,326
56,BLUE MOUNTAIN DR,MAUMELLE,AR,72113,
33905,KANIS RD,PULASKI COUNTY,AR,72122,
16000,RUSHMORE AVE,Pulaski,AR,72223,4107
1600,CHANDLER ST,NORTH LITTLE ROCK,AR,72114,
12503,PLEASANT VIEW DR,LITTLE ROCK,AR,72212,
2,MEREDITH CT,LITTLE ROCK,AR,72227,
2660,W   WEDINGTON DR,FAYETTEVILLE,AR,72701,34
4412,ASHER AVE,LITTLE ROCK,AR,72204,
8014,HARMON DR,LITTLE ROCK,AR,72227,
811,N GRANT ST,LITTLE ROCK,AR,72205,2
14415,SHEPARD DR,LITTLE ROCK,AR,72223,
218,LAKE VALLEY DR,MAUMELLE,AR,72113,
6924,NORMAN RD,PULASKI COUNTY,AR,72118,
4912,PAGE MILL RD,NORTH LITTLE ROCK,AR,72117,
308,E 47TH ST,PULASKI COUNTY,AR,72117,
3600,AVONDALE RD,NORTH LITTLE ROCK,AR,72116,
3000,SHADYSIDE DR,SHERWOOD,AR,72120,
15,FOXBORO CV,JACKSONVILLE,AR,72076,
3855,W   WEIR RD, ,AR,72704,
1700,E 14TH ST,LITTLE ROCK,AR,72202,
1206,S   MAXWELL DR,FAYETTEVILLE,AR,72703,
17720,CRYSTAL VALLEY RD,PULASKI COUNTY,AR,72210,
28,CONGRESSIONAL DR,LITTLE ROCK,AR,72210,
7701,MORRIS DR,LITTLE ROCK,AR,72209,
201,E MARKHAM ST,LITTLE ROCK,AR,72201,150
1700,W DIXON RD,PULASKI COUNTY,AR,72206,28
4579,CLEAR CREEK BLVD,JOHNSON,AR,72704,
9,SPEAR RD,NORTH LITTLE ROCK,AR,72117,
2420,RIVERFRONT DR,LITTLE ROCK,AR,72202,1306
6303,PAWNEE DR,NORTH LITTLE ROCK,AR,72116,
8204,REMOUNT RD,NORTH LITTLE ROCK,AR,72118,
935,N   SUNSET DR,FAYETTEVILLE,AR,72701,
3101,ROMINE RD,LITTLE ROCK,AR,72204,
2600,JOHN ASHLEY DR,NORTH LITTLE ROCK,AR,72114,
8100,WOODSON LATERAL RD,PULASKI COUNTY,AR,72065,
6591,PRAIRIE VIEW RD,Harrison,AR,72602,
2920,MOSSY CREEK DR,LITTLE ROCK,AR,72211,
6313,BUTLER RD,LITTLE ROCK,AR,72209,1612
2,OAK FOREST DR,MAUMELLE,AR,72113,
1317,PINE VALLEY RD,LITTLE ROCK,AR,72207,
5348,W   YELLOW BRICK RD, ,AR,72704,
1310,ALDERSGATE RD,LITTLE ROCK,AR,72205,
2400,OZARK DR,NORTH LITTLE ROCK,AR,72116,
2107,N ARTHUR ST,LITTLE ROCK,AR,72207,
2556,W   MOUNT COMFORT RD,FAYETTEVILLE,AR,72704,36
2322,CANTRELL RD,LITTLE ROCK,AR,72202,
24,SPRUCE LN,PULASKI COUNTY,AR,72118,
255,CHENAL VILLAGE LN,LITTLE ROCK,AR,72223,
401,W   24TH ST,FAYETTEVILLE,AR,72701,
2213,STEEPLE CHASE DR,JACKSONVILLE,AR,72076,
4033,N   CAMBRAY DR,FAYETTEVILLE,AR,72703,
2524,E   SHARON ST,FAYETTEVILLE,AR,72703,
103,MOUNTAIN VILLAGE EST,PERRY COUNTY,AR,72016,
29,COLLINS INDUSTRIAL PL,NORTH LITTLE ROCK,AR,72113,
14,AVON PL,LITTLE ROCK,AR,72206,
1,REVERE CIR,LITTLE ROCK,AR,72227,
7301,VALLEY DR,LITTLE ROCK,AR,72209,
17,FROSTWOOD DR,PULASKI COUNTY,AR,72120,
1375,N   LEVERETT AVE,FAYETTEVILLE,AR,72703,2
1317,BEN ST,NORTH LITTLE ROCK,AR,72117,
4409,E 46TH ST,NORTH LITTLE ROCK,AR,72117,6
4512,TIMBERLAND DR,LITTLE ROCK,AR,72204,
