NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
46.0,Founders Rd,Glastonbury,CT,6033,
11.0,Woodside Dr,Naugatuck,CT,6770,
1559.0,Ridge Rd,North Haven,CT,6473,
168.0,Wolcott St,New Haven,CT,6513,
2.0,Nearwater Rd,Norwalk,CT,6853,
26.0,Michael Dr,Farmington,CT,6032,
1576.0,Boulevard,West Hartford,CT,6107,
67.0,S Water St,New Haven,CT,6519,
271.0,Hebron Rd,Bolton,CT,6043,
88.0,Vista View Dr,Southbury,CT,6488,
14.0,Hamden Park Dr,Hamden,CT,6517,
1472.0,Ridge Rd,North Haven,CT,6473,
1655.0,Ella T Grasso Blvd,New Haven,CT,6511,
118.0,Meloy Rd,West Haven,CT,6516,
399.0,Jefferson,Bridgeport,CT,6607,
40.0,Platt,Bridgeport,CT,6606,
74.0,Garden St,Ansonia,CT,6401,
75.0,Old Farm Rd,Hamden,CT,6517,
404.0,Granby St,Hartford,CT,6112,
110.0,Brushy Hill Rd,Woodbury,CT,6798,
320.0,Bayberry Ln,Westport,CT,6880,
56.0,Budney Rd,Newington,CT,6111,
33.0,Ocean Ave,Milford,CT,6460,
15.0,Pressprich St,Stamford,CT,6902,
599.0,Franklin Ave,Hartford,CT,6114,
10.0,Knotter Dr,Cheshire,CT,6410,
175.0,Tamarac Dr,Glastonbury,CT,6033,
12.0,Farmington Chase Cres,Farmington,CT,6032,
240.0,E Main St,Meriden,CT,6450,
33.0,Prospect Hill Rd,Branford,CT,6405,
66.0,Williamsburg Dr,Cheshire,CT,6410,
224.0,N Elm St,Torrington,CT,6790,
416.0,Colony St,Meriden,CT,6451,
734.0,Reservoir Rd,Southbury,CT,6488,
16.0,Moore Dr,Torrington,CT,6790,
,Judson Ave,East Hartford,CT,6118,
27.0,Fair St,Bristol,CT,6010,
389.0,Meadow St,Waterbury,CT,6702,
1.0,Bailey Blvd,Bethel,CT,6801,
10.0,Ridgecrest Dr,Cheshire,CT,6410,
700.0,Hale St,Suffield,CT,6078,
39.0,Ball Pond,Danbury,CT,6811,
91.0,Linwood,Bridgeport,CT,6605,
35.0,Robincrest Dr,Waterbury,CT,6708,
57.0,Mountain View Rd,Glastonbury,CT,6033,
17.0,Laurie Dr,Enfield,CT,6082,
45.0,Arrowhead Ln,Bethlehem,CT,6751,
174.0,Main St,Glastonbury,CT,6073,
27.0,Orlando Rd,Norwalk,CT,6854,
317.0,Bantam Lake Rd,Morris,CT,06763,
326.0,Lambert Rd,Orange,CT,6477,
15.0,Broad Leaf Ln,Enfield,CT,6082,
37.0,Stonycrest Dr,Meriden,CT,6450,
166.0,Joffre Ave,Stamford,CT,6905,
2.0,West Ridge Rd,New Fairfield,CT,6812,
1031.0,E Main St,Stratford,CT,6614,
559.0,Artillery Rd,Watertown,CT,6795,
60.0,Haddam Neck Rd,East Hampton,CT,6424,
26.0,Charles St,New Haven,CT,6511,
11.0,Angel Trce,Ellington,CT,6029,
60.0,Main St,East Hampton,CT,6424,
2.0,Watson Farm Dr,South Windsor,CT,06074,
7.0,Signal Hill Rd,Madison,CT,6443,
656.0,Lakeside,Bridgeport,CT,6606,
21.0,Clermont St,Hartford,CT,6106,
742.0,Lambert Rd,Orange,CT,6477,
1871.0,Boston Post Rd,Westbrook,CT,6498,
5.0,Ponderosa Dr,Greenwich,CT,6830,
185.0,Turkey Hills Rd,East Granby,CT,6026,
1.0,Keith St,Norwalk,CT,6854,
50.0,Hilltop Ave,Thomaston,CT,6787,
39.0,Wyman St,Waterbury,CT,6710,
33.0,Chidsey Ave,East Haven,CT,6512,
24.0,Bear Hill Rd,Bethany,CT,6524,
214.0,Overlook Rd,Glastonbury,CT,6033,
260.0,Pine St,Waterbury,CT,6710,
6.0,Westport Ave,Westport,CT,6880,
29.0,Sword Ave,Enfield,CT,6082,
71.0,Rees Dr,Oxford,CT,6478,
95.0,Hebron Rd,Andover,CT,6232,
51.0,Shortwoods Rd,New Fairfield,CT,6812,
445.0,Bow Ln,Middletown,CT,6457,
21.0,Birchwood Dr,Ansonia,CT,6401,
749.0,South Meriden Rd,Cheshire,CT,6410,
11.0,Bittersweet Ct,Newington,CT,6111,
71.0,Burnham St,Hartford,CT,6112,
540.0,East St,New Britain,CT,6051,
1.0,Little John Ln,Stamford,CT,6907,
27.0,Lyman Rd,Waterbury,CT,6704,
70.0,Utica St,Milford,CT,6461,
70.0,Copper Rdg,Southington,CT,6489,
12.0,Hopp Brook Ln,Bethany,CT,6524,
20.0,Heritage Dr,Cheshire,CT,6410,
25.0,West Point Ter,West Hartford,CT,6107,
51.0,Columbia Blvd,Waterbury,CT,6710,
159.0,Newton St,Meriden,CT,6450,
144.0,Lockwood Rd,Greenwich,CT,6878,
375.0,Grassy Hill Rd,Woodbury,CT,6798,
23.0,Kimball Rd,Wethersfield,CT,6109,
10.0,Timberwood Cir,North Branford,CT,6471,
25.0,Vincellette,Bridgeport,CT,6606,
698.0,Mulberry Point Rd,Guilford,CT,6437,
17.0,Glenbrook Dr,New Milford,CT,6776,
9.0,Irontree Ct,Avon,CT,6001,
3.0,Catalina Dr,Ansonia,CT,6401,
69.0,Birch St,Waterbury,CT,6704,
263.0,Byron Rd,Meriden,CT,6451,
41.0,W Dayton Hill Rd,Wallingford,CT,6492,
60.0,N Main St,Waterbury,CT,6702,
74.0,Whitewood Dr,Rocky Hill,CT,6067,
23.0,Seaview Ave,Madison,CT,6443,
489.0,Orange Ave,Milford,CT,06461,
4.0,Windsor Pl,Naugatuck,CT,6770,
159.0,Greenwood Ave,Bethel,CT,6801,
111.0,Southington Ave,Southington,CT,6489,
25.0,Stanley Dr,South Windsor,CT,06074,
65.0,Harrison St,New Britain,CT,6052,
98.0,Northwood Dr,Guilford,CT,6437,
11.0,West Wynd Ter,Middletown,CT,6457,
35.0,Main St,Wethersfield,CT,6109,
48.0,Mallard Dr,Glastonbury,CT,6033,
31.0,Webatuck Rd,New Milford,CT,6755,
150.0,Blue Hills Ave,Hartford,CT,6112,
94.0,Elmwood,Bridgeport,CT,6605,
49.0,Longview Dr,Windsor,CT,6095,
5.0,Mail Coach Dr,Norwalk,CT,6850,
32.0,Dudley St,Hamden,CT,6517,
35.0,Arlen Rd,Westport,CT,6880,
139.0,Summit St,Newington,CT,6111,
40.0,Woolam Rd,East Windsor,CT,6088,
324.0,New Park Ave,Hartford,CT,6110,
433.0,Torringford West St,Torrington,CT,6790,
11.0,Wood Dr,Enfield,CT,6082,
5.0,Old Hemlock Rd,Brookfield,CT,06804,
82.0,Cambridge St,Manchester,CT,06042,
381.0,Eden Rd,Stamford,CT,6907,
67.0,Grouse Hill Rd,Glastonbury,CT,6033,
4429.0,Durham Rd,Guilford,CT,6437,
38.0,Aloha Dr,Enfield,CT,6082,
104.0,Woods Hollow Rd,Suffield,CT,6093,
88.0,Russell Rd,Southington,CT,6479,
389.0,Pine St,Middletown,CT,6457,
6.0,Robert St,Woodbridge,CT,6525,
83.0,Wall St,Norwalk,CT,6850,
58.0,Woods Hill Rd,North Branford,CT,6472,
45.0,Woodmere Rd,Newington,CT,6111,
2.0,Center St,Andover,CT,6232,
154.0,Lake Dr,Bethlehem,CT,6751,
188.0,High Wood Dr,Glastonbury,CT,6073,
1793.0,Main St,East Hartford,CT,6108,
25.0,Custer St,West Hartford,CT,6110,
223.0,Palmer Hill Rd,Greenwich,CT,6870,
330.0,Elm St,Meriden,CT,6450,
46.0,Lawlor Rd,Tolland,CT,6084,
159.0,Watertown Rd,Morris,CT,06763,
133.0,Vanderbilt Ave,West Hartford,CT,6110,
449.0,Taulman Rd,Orange,CT,6477,
702.0,Summer Hill Dr,South Windsor,CT,06074,
124.0,Farmington Chase Cres,Farmington,CT,6032,
2.0,Spruce Brook Rd,Seymour,CT,6483,
223.0,Annelise Ave,Southington,CT,6489,
137.0,South Ave,North Haven,CT,6473,
145.0,Austin Ryer Ln,Branford,CT,6405,
19.0,N Cone Rd,East Hampton,CT,6424,
54.0,Break Neck Hill Rd,Westbrook,CT,6498,
189.0,Sigourney St,Hartford,CT,6105,
106.0,Putney Dr,West Haven,CT,6516,
66.0,Gordon St,East Haven,CT,6512,
151.0,Flat Iron Rd,Guilford,CT,6437,
9.0,Salem Straits,Darien,CT,6820,
18.0,Farmstead Ln,Ellington,CT,6029,
111.0,Kings Wood Dr,Avon,CT,6001,
3.0,Glenn Dr,Tolland,CT,6084,
10.0,Padanaram Rd,Danbury,CT,6811,
121.0,Beverly Rd,Wethersfield,CT,6109,
40.0,Hawley Rd,Danbury,CT,6811,
528.0,Horton Hill Rd,Naugatuck,CT,6770,
138.0,Carey St,Southington,CT,6489,
682.0,Atlantic,Bridgeport,CT,6604,
582.0,East St N,Suffield,CT,6078,
446.0,Parker St,Manchester,CT,06042,
322.0,Hoyt Farm Rd,New Canaan,CT,6840,
126.0,Walker St,Manchester,CT,06040,
43.0,Hunting Hill Ave,Middletown,CT,6457,
205.0,Harvard St,Hartford,CT,6106,
246.0,Fairfield Ave,Waterbury,CT,6708,
21.0,Grandview Ave,Norwalk,CT,6850,
254.0,Lanyon Dr,Cheshire,CT,6410,
8.0,Mountain Laurel Ln,Danbury,CT,6811,
11.0,Strawberry Ridge Rd,Ridgefield,CT,6877,
16.0,Leatherman Trl,Hamden,CT,6518,
175.0,Four Rod Rd,Hamden,CT,6514,
5.0,Oakwood Cir,Ellington,CT,6029,
29.0,Selah St,Waterbury,CT,6705,
