NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
120.0,IRVINGTON STREET SW,WASHINGTON,DC,20032,
214.0,OKLAHOMA AVENUE NE,WASHINGTON,DC,20002,
,DELAWARE AVENUE SW,WASHINGTON,DC,20024,
4411.0,5TH STREET NW,WASHINGTON,DC,20011,
619.0,SHERIDAN STREET NW,WASHINGTON,DC,20011,
3806.0,12TH STREET NE,WASHINGTON,DC,20017,
1215.0,V STREET NW,WASHINGTON,DC,20009,
3121.0,33RD PLACE NW,WASHINGTON,DC,20008,
211.0,11TH STREET NE,WASHINGTON,DC,20002,
800.0,I STREET NW,WASHINGTON,DC,20001,
322.0,56TH STREET NE,WASHINGTON,DC,20019,
1826.0,22ND STREET SE,WASHINGTON,DC,20020,
1908.0,TREMONT STREET SE,WASHINGTON,DC,20020,
4377.0,BENNING ROAD NE,WASHINGTON,DC,20019,
3517.0,14TH STREET NW,WASHINGTON,DC,20010,
2425.0,WAGNER STREET SE,WASHINGTON,DC,20020,
1605.0,FOXHALL ROAD NW,WASHINGTON,DC,20007,
220.0,QUACKENBOS STREET NW,WASHINGTON,DC,20011,
724.0,TEWKESBURY PLACE NW,WASHINGTON,DC,20012,
802.0,3RD STREET SE,WASHINGTON,DC,20003,
4054.0,52ND TERRACE NW,WASHINGTON,DC,20016,
3554.0,FORT LINCOLN DRIVE NE,WASHINGTON,DC,20018,
1812.0,BENNING ROAD NE,WASHINGTON,DC,20002,
408.0,U STREET NW,WASHINGTON,DC,20001,
1809.0,VARNUM STREET NW,WASHINGTON,DC,20011,
3057.0,ORDWAY STREET NW,WASHINGTON,DC,20008,
154.0,ADAMS STREET NW,WASHINGTON,DC,20001,
3402.0,24TH STREET SE,WASHINGTON,DC,20020,
227.0,R STREET NE,WASHINGTON,DC,20002,
915.0,EAST CAPITOL STREET SE,WASHINGTON,DC,20003,
3459.0,MINNESOTA AVENUE SE,WASHINGTON,DC,20019,
2747.0,4TH STREET NE,WASHINGTON,DC,20002,
,INDEPENDENCE AVENUE SW,WASHINGTON,DC,20560,
4722.0,9TH STREET NW,WASHINGTON,DC,20011,
2640.0,BOWEN ROAD SE,WASHINGTON,DC,20020,
4604.0,FOXHALL CRESCENT NW,WASHINGTON,DC,20007,
4801.0,YUMA STREET NW,WASHINGTON,DC,20016,
525.0,9TH STREET NE,WASHINGTON,DC,20002,
416.0,WOODCREST DRIVE SE,WASHINGTON,DC,20032,
5301.0,2ND STREET NW,WASHINGTON,DC,20011,
1426.0,KEARNY STREET NE,WASHINGTON,DC,20017,
1823.0,ONTARIO PLACE NW,WASHINGTON,DC,20009,
1409.0,11TH STREET NW,WASHINGTON,DC,20001,
1310.0,T STREET SE,WASHINGTON,DC,20020,
3516.0,30TH STREET NW,WASHINGTON,DC,20008,
3505.0,STANTON ROAD SE,WASHINGTON,DC,20020,
1227.0,MARYLAND AVENUE NE,WASHINGTON,DC,20002,
3706.0,FOOTE STREET NE,WASHINGTON,DC,20019,
1205.0,TRINIDAD AVENUE NE,WASHINGTON,DC,20002,
6960.0,OREGON AVENUE NW,WASHINGTON,DC,20015,
2030.0,Q STREET NW,WASHINGTON,DC,20009,
906.0,PORTER COURT NE,WASHINGTON,DC,20019,
1849.0,BILTMORE STREET NW,WASHINGTON,DC,20009,
5108.0,13TH STREET NW,WASHINGTON,DC,20011,
257.0,56TH PLACE NE,WASHINGTON,DC,20019,
626.0,IRVING STREET NW,WASHINGTON,DC,20010,
22.0,BRYANT STREET NW,WASHINGTON,DC,20001,
1357.0,OTIS PLACE NW,WASHINGTON,DC,20010,
1251.0,HALF STREET SW,WASHINGTON,DC,20024,
1020.0,G STREET NW,WASHINGTON,DC,20004,
4614.0,CENTRAL AVENUE NE,WASHINGTON,DC,20019,
5711.0,NEBRASKA AVENUE NW,WASHINGTON,DC,20015,
1230.0,HALF STREET SW,WASHINGTON,DC,20024,
4801.0,CHESAPEAKE STREET NW,WASHINGTON,DC,20016,
4704.0,45TH STREET NW,WASHINGTON,DC,20016,
2900.0,28TH STREET NW,WASHINGTON,DC,20008,
3803.0,JENIFER STREET NW,WASHINGTON,DC,20015,
5511.0,13TH STREET NW,WASHINGTON,DC,20011,
4531.0,WESTHALL DRIVE NW,WASHINGTON,DC,20007,
1511.0,KINGMAN PLACE NW,WASHINGTON,DC,20005,
2604.0,33RD STREET SE,WASHINGTON,DC,20020,
1827.0,M STREET NW,WASHINGTON,DC,20036,
3308.0,9TH STREET NE,WASHINGTON,DC,20017,
4838.0,BROAD BRANCH ROAD NW,WASHINGTON,DC,20008,
1004.0,SHEPHERD STREET NE,WASHINGTON,DC,20017,
439.0,Q STREET NW,WASHINGTON,DC,20001,
1512.0,14TH STREET NW,WASHINGTON,DC,20005,
5112.0,CONNECTICUT AVENUE NW,WASHINGTON,DC,20008,
3101.0,DAVENPORT STREET NW,WASHINGTON,DC,20008,
426.0,BURBANK STREET SE,WASHINGTON,DC,20019,
201.0,16TH STREET SE,WASHINGTON,DC,20003,
6262.0,29TH STREET NW,WASHINGTON,DC,20015,
4215.0,16TH STREET NW,WASHINGTON,DC,20011,
,MARCH CIRCLE SW,WASHINGTON,DC,20032,
1765.0,TRENTON PLACE SE,WASHINGTON,DC,20020,
6614.0,32ND STREET NW,WASHINGTON,DC,20015,
3010.0,CHESTNUT STREET NW,WASHINGTON,DC,20015,
2605.0,29TH STREET SE,WASHINGTON,DC,20020,
4412.0,3RD STREET NW,WASHINGTON,DC,20011,
4922.0,3RD STREET NW,WASHINGTON,DC,20011,
1235.0,INDEPENDENCE AVENUE SE,WASHINGTON,DC,20003,
1014.0,HAMLIN STREET NE,WASHINGTON,DC,20017,
1137.0,46TH PLACE SE,WASHINGTON,DC,20019,
4224.0,NASH STREET SE,WASHINGTON,DC,20020,
5284.0,CHILLUM PLACE NE,WASHINGTON,DC,20011,
2409.0,TUNLAW ROAD NW,WASHINGTON,DC,20007,
602.0,6TH PLACE SW,WASHINGTON,DC,20024,
1632.0,TRINIDAD AVENUE NE,WASHINGTON,DC,20002,
1355.0,MONROE STREET NE,WASHINGTON,DC,20017,
200.0,12TH STREET SE,WASHINGTON,DC,20003,
1808.0,HALF STREET SW,WASHINGTON,DC,20024,
1228.0,G STREET NE,WASHINGTON,DC,20002,
455.0,M STREET NW,WASHINGTON,DC,20001,
4437.0,CATHEDRAL AVENUE NW,WASHINGTON,DC,20016,
251.0,TENNESSEE AVENUE NE,WASHINGTON,DC,20002,
624.0,I STREET NW,WASHINGTON,DC,20001,
218.0,RHODE ISLAND AVENUE NW,WASHINGTON,DC,20001,
1236.0,INGRAHAM STREET NW,WASHINGTON,DC,20011,
807.0,FERN PLACE NW,WASHINGTON,DC,20012,
4234.0,CLAY STREET NE,WASHINGTON,DC,20019,
1538.0,17TH STREET NW,WASHINGTON,DC,20036,
711.0,57TH PLACE NE,WASHINGTON,DC,20019,
1641.0,TRINIDAD AVENUE NE,WASHINGTON,DC,20002,
610.0,MARYLAND AVENUE NE,WASHINGTON,DC,20002,
26.0,FLORIDA AVENUE NE,WASHINGTON,DC,20002,
7730.0,GEORGIA AVENUE NW,WASHINGTON,DC,20012,
,4TH STREET SE,WASHINGTON,DC,20003,
1742.0,KENYON STREET NW,WASHINGTON,DC,20010,
721.0,HAMLIN STREET NE,WASHINGTON,DC,20017,
4001.0,GARRISON STREET NW,WASHINGTON,DC,20016,
1329.0,MICHIGAN AVENUE NE,WASHINGTON,DC,20017,
4456.0,B STREET SE,WASHINGTON,DC,20019,
2119.0,3RD STREET NE,WASHINGTON,DC,20002,
5532.0,C STREET SE,WASHINGTON,DC,20019,
643.0,GALLATIN STREET NE,WASHINGTON,DC,20017,
