NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
1396.0,FISCHER RD,SHARPSBURG,GA,30277,
155.0,CHANDLER WAY,FAY,GA,30215,
346.0,Brookhaven Walk,Johns Creek,GA,30097,
26.0,PINE HILL CT,Paulding,GA,30132,
2935.0,Owlswick Way,Cumming,GA,30040,
11135.0,Crofton Overlook Court,Johns Creek,GA,30097,
290.0,GRAY FOX CIR,Athens,GA,30683,
726.0,FOREST LAKE DR,MACON,GA,31210,
1483.0,Inverness Drive,STONE MOUNTAIN,GA,30083,
4275.0,LENORA CHURCH RD,SNELLVILLE,GA,30039,
657.0,N PEACHTREE ST,NORCROSS,GA,30071,
576.0,LORELL TER,Sandy Springs,GA,30328,
10293.0,Midway Avenue,Johns Creek,GA,30022,
155.0,JOHNNY MERCER BLVD,Chatham,GA,31410,
4620.0,Pleasant Woods Dr,Cumming,GA,30028,
376.0,Allison Drive  NE,Atlanta,GA,30342,
2834.0,VILLAGE PARK DR E,ELLENWOOD,GA,30294,
200.0,FRANKLIN RD,Sandy Springs,GA,30342,4.0
2250.0,Willivee Place,DECATUR,GA,30033,
7291.0,AUBREY DR,RIVERDALE,GA,30296,
2110.0,UNIWATTEE TRL,DACULA,GA,30019,
215.0,CHINA ST,Athens,GA,30605,
,LANDING WAY,LOGANVILLE,GA,30052,
1870.0,Campbellton Road  SW,Atlanta,GA,30311,
27.0,BELK RD,NEWNAN,GA,30263,124.0
2724.0,Eaton Place,CHAMBLEE,GA,30341,
3229.0,RIVER RD NE,DALTON,GA,30721,
801.0,WALTHOUR RD,Chatham,GA,31410,
3954.0,LEEWARD CT,DULUTH,GA,30096,
602.0,Lexington Way,Woodstock,GA,30189,
359.0,West   Lake Avenue  NW,Atlanta,GA,30318,910.0
4615.0,MULBERRY ROCK RD,Paulding,GA,30157,
209.0,Woodcliff Drive,Sandy Springs,GA,30350,
,OLD ANDERSONVILLE RD,Sumter,GA,31711,
160.0,KNOB LICK DR,ATHENS,GA,30605,
305.0,DEERGRASS TR,PTC,GA,30269,
200.0,N GRADE DR,DALTON,GA,30721,
70.0,EAGLE ST,Chatham,GA,31415,102.0
1780.0,GRAVES RD,NORCROSS,GA,30093,
2977.0,NUPTIAL LN,LAWRENCEVILLE,GA,30044,
8050.0,Royal St Georges Ln,Duluth,GA,30097,
1240.0,KASANDRA DR,Marietta,GA,300677714,
1681.0,MILLEDGE AVENUE EXT,Athens,GA,30605,
1530.0,South  Gordon Street  SW,Atlanta,GA,30310,
3305.0,Harrison Road,East Point,GA,30344,
336.0,LESLIE LAMAR RD,Sumter,GA,31764,
4060.0,Pinnacle Way,Hephzibah,GA,30815,
130.0,Smithdun Lane,Sandy Springs,GA,30350,
1100.0,HUNTINGTON CHS,NORCROSS,GA,30093,
3891.0,Main Street,College Park,GA,30337,
5145.0,Tall Oaks Cv,Cumming,GA,30040,
1360.0,Skymist Way,Cumming,GA,30040,
1362.0,BRANCH DR,TUCKER,GA,30084,
6039.0,Chinarose Lane,Johns Creek,GA,30097,
993.0,RIVERBEND PKWY,Athens,GA,30605,
1259.0,ROARING ROCK TRL,NORCROSS,GA,30093,
85.0,Mount Zion Road  SW,Atlanta,GA,30354,174.0
101.0,KENWOOD RD,FAY,GA,30214,56.0
100.0,DOVER CHASE,TYR,GA,30290,
85.0,HALLMARK LN,Covington,GA,30014    ,
108.0,Sunset Peak Ct,Waleska,GA,30183,
9044.0,Woodland Trail,Alpharetta,GA,30009,
37.0,OLD HIGHWAY 85,SENOIA,GA,30276,
926.0,HIGH STREET LN,MACON,GA,31201,
1380.0,CARLYSLE PARK DR,LAWRENCEVILLE,GA,30044,
280.0,PEBBLE CHASE LN,LAWRENCEVILLE,GA,30044,
3060.0,Continental Colony Parkway  SW,Atlanta,GA,30331,514.0
472.0,DAFFODIL ST,MACON,GA,31204,
156.0,TURNBUCKLE WAY,DALTON,GA,30721,
1543.0,Bishop Dr,Canton,GA,30115,
308.0,East  Side Avenue  SE,Fulton,GA,30316,
96.0,DUNWOODY SPRINGS DR,Sandy Springs,GA,30328,
561.0,BRENDLYNN CT,SUWANEE,GA,30024,
4333.0,Big Dipper Cir,Hephzibah,GA,30815,
571.0,Park Drive  NE,Atlanta,GA,30306,
310.0,Worthington Way,Johns Creek,GA,30097,
1095.0,Celtic Court,STONE MOUNTAIN,GA,30083,
1975.0,PLANTATION RD,LAWRENCEVILLE,GA,30044,
3402.0,MANCHESTER DR,LILBURN,GA,30047,
1785.0,Bond Drive  SW,Atlanta,GA,30315,
18.0,CHESTNUT OAK RUN,ATHENS,GA,30607,
2404.0,MONTEREY PKWY,Sandy Springs,GA,30350,
2680.0,WILLOW GREEN DR,DULUTH,GA,30096,
1035.0,JESSAMINE ST,MACON,GA,31206,
250.0,TAYLOR RD,Paulding,GA,30127,
958.0,MORROW RD,FOREST PARK,GA,30297,
395.0,North Victoria Rd,Woodstock,GA,30189,
135.0,Pond Court,South Fulton,GA,30349,
1016.0,WALTHOUR RD,Chatham,GA,31410,
459.0,BIRCHWOOD DR,Paulding,GA,30179,
408.0,WELSH DR,DALTON,GA,30720,
1820.0,Broadwell Oaks Drive,Alpharetta,GA,30004,
2924.0,CLAIRMONT ROAD,ATLANTA,GA,30329,
