NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
357.0,N 465   W,BLACKFOOT,ID,832210000,
102.0,N  COLE RD,BOISE,ID,83704,
2756.0,N  COLUMBINE AVE,BOISE,ID,83713,
8245.0,Melmont Rd,Melba,ID,83641,
500.0,S Fujii Dr,Nampa,ID,83686,
1886.0,W  BELLAGIO DR,MERIDIAN,ID,83646,
51.0,E  BLUE HERON LN,MERIDIAN,ID,83646,
820.0,N SIONY LN,POST FALLS,ID,83854,
9590.0,W  LILLYWOOD DR,BOISE,ID,83709,
7940.0,W  GALENA DR,BOISE,ID,83709,
2267.0,CALICO DR,IDAHO FALLS,ID,83402,
216.0,E  OBSERVATION DR,MERIDIAN,ID,83642,
16873.0,N Barrymoore Dr,Nampa,ID,83687,
4978.0,S VINTAGE LN,AMMON,ID,83406,
740.0,AMES WAY,DOVER,ID,83864,
10273.0,W  BROWNSTONE DR,BOISE,ID,83709,
705.0,LEMHI RD,Lemhi,ID,83467,
117.0,DEER RUN RD, ,ID,800000000,
10601.0,W  WILD IRIS ST,STAR,ID,83669,
1231.0,CEDAR AVE,Nez Perce,ID,83501,
250.0,S SKYLINE DR,IDAHO FALLS,ID,83402,
102.0,E Bates Ave,Parma,ID,83660,
3543.0,N  COLE RD,BOISE,ID,83704,
2811.0,W  CROOKED STICK CT,EAGLE,ID,83616,
2304.0,POWERS AVE,Nez Perce,ID,83501,
3096.0,S  GEKELER LN,BOISE,ID,83706,
9630.0,W  MILCLAY ST,BOISE,ID,83704,
153.0,HYNDMAN VIEW DR, ,ID,800000000,
21.0,E MC KERCHER BLVD,HAILEY,ID,833330000,
150.0,S  STRAUGHAN AVE,BOISE,ID,83712,
485.0,YORK DR,BLACKFOOT,ID,832210000,
1129.0,N  LIBERTY ST,BOISE,ID,83704,
11329.0,Lincoln Rd,Caldwell,ID,83605,
14.0,W BANNOCK RD,Lemhi,ID,83467,
600.0,S  ORCHARD ST,BOISE,ID,83705,
790.0,N  RIVIERA DR,BOISE,ID,83703,
7011.0,Noah Dr,Caldwell,ID,83607,
5441.0,W  KENDALL ST,BOISE,ID,83706,
908.0,W  HERON ST,BOISE,ID,83702,
1325.0,HOOPES AVE,IDAHO FALLS,ID,83404,
3887.0,BRIGHTON CIR,IDAHO FALLS,ID,83401,
161.0,N 710   W,BLACKFOOT,ID,832210000,
1915.0,W  WALTMAN ST,MERIDIAN,ID,83642,
9780.0,W  HEARTHSIDE DR,BOISE,ID,83709,
401.0,LEWIS ST,KETCHUM,ID,833400000,
3316.0,W  CATALINA LN,BOISE,ID,83705,
4627.0,W  CATALPA DR,BOISE,ID,83703,
2515.0,E 49TH N,IDAHO FALLS,ID,83401,
1511.0,PROSPECT AVE,Nez Perce,ID,83501,
1482.0,THREE FOUNTAINS,IDAHO FALLS,ID,83404,
6105.0,N  BROOK PL,GARDEN CITY,ID,83714,
273.0,HUMMINGBIRD,SHELLEY,ID,832740000,
320.0,Holland Dr,Nampa,ID,83651,
77.0,W 600   N,BLACKFOOT,ID,832210000,
1302.0,12TH AVE,Nez Perce,ID,83501,
16592.0,Smoky Mountain Ave,Caldwell,ID,83607,
280.0,N 4500 E,Rigby,ID,83442,
3504.0,W  SHASTA ST,BOISE,ID,83703,
9543.0,W  CALICO CT,BOISE,ID,83709,
2100.0,Lambert Dr,Nampa,ID,83686,
3118.0,W  MILANO DR,MERIDIAN,ID,83646,
3716.0,Airport Rd,Nampa,ID,83687,
831.0,W Odessa Loop,Nampa,ID,83686,
1020.0,BUSINESS PARK DR,HAILEY,ID,833330000,
26387.0,ROCKY TOP LN,Nez Perce,ID,83540,
83.0,E  EASTBROOK CT,MERIDIAN,ID,83646,
1293.0,S  SECURITY LN,BOISE,ID,83705,
465.0,N 4th St,Driggs,ID,83422,
109.0,ANGANI WAY,SUN VALLEY,ID,833530000,9.0
5074.0,N  CORTONA WAY,MERIDIAN,ID,83646,
3121.0,Citrus St,Caldwell,ID,83605,
5045.0,E  SAGEWOOD DR,BOISE,ID,83716,
2341.0,W  TUMBLE CREEK DR,MERIDIAN,ID,83646,
5217.0,S MAUNA LANI LN,IDAHO FALLS,ID,83404,
523.0,E Maryland Ave,Nampa,ID,83686,
2602.0,Summercrest St,Caldwell,ID,83607,
6440.0,W  BEACON LIGHT RD,EAGLE,ID,83616,
720.0,20TH ST,Nez Perce,ID,83501,
724.0,CEDAR,SHELLEY,ID,832740000,
7807.0,W  PRINCE ST,BOISE,ID,83714,
10827.0,W  USTICK RD,BOISE,ID,83713,
324.0,NE  3RD ST,MERIDIAN,ID,83642,
2255.0,E  VAN OKER ST,MERIDIAN,ID,83646,
1011.0,S  LA POINTE ST,BOISE,ID,83706,
4531.0,W  HILL RD,BOISE,ID,83703,
390.0,DUGOUT WAY,IDAHO FALLS,ID,83404,
9471.0,W  THOR DR,BOISE,ID,83709,
132.0,Owyhee Ave,Nampa,ID,83651,
11346.0,W  TRESTLEWOOD ST,BOISE,ID,83709,
4998.0,E  STEMWOOD ST,BOISE,ID,83716,
12436.0,W  CEDARWOOD DR,BOISE,ID,83709,
2425.0,S  EMPIRE WAY,BOISE,ID,83709,
5389.0,N  PEPPARD AVE,MERIDIAN,ID,83646,
7097.0,S  RED SHINE AVE,BOISE,ID,83709,
5300.0,E TILDY CIR,AMMON,ID,83401,
1944.0,S  PEPPERCORN PL,BOISE,ID,83709,
2224.0,Rice Ave,Caldwell,ID,83605,
318.0,S Kimball Ave,Caldwell,ID,83605,
1202.0,E 17TH ST,IDAHO FALLS,ID,83404,
1615.0,W Roston Ct,Nampa,ID,83686,
1849.0,W  MCGLINCHEY ST,MERIDIAN,ID,83646,
4421.0,E Stone Falls Dr,Nampa,ID,83686,
4013.0,W  GLENCOE PL,BOISE,ID,83705,
450.0,GRANDVIEW DR,OROFINO,ID,83544,
3875.0,W  NIGHT HAWK LN,EAGLE,ID,83616,
2601.0,W  CASSIA ST,BOISE,ID,83705,
306.0,N   MAIN ST,Nez Perce,ID,83540,
2401.0,S  OWYHEE ST,BOISE,ID,83705,
407.0,3rd Ave S,Nampa,ID,83651,
3820.0,Duluth Ave,Caldwell,ID,83605,
3317.0,Little John Ct,Nampa,ID,83687,
903.0,E Lincoln Ave,Nampa,ID,83686,
3759.0,AIRPOINTE PL,Nez Perce,ID,83501,
4195.0,N  MILWAUKEE ST,BOISE,ID,83704,
306.0,Orchard Heights Way,Nampa,ID,83651,
515.0,WARNER AVE,Nez Perce,ID,83501,
1523.0,S Florence St,Nampa,ID,83686,
