NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
101.0,ALLINGTON CT,OSWEGO,IL,60543,
13122.0,SOUTH BURLEY AVENUE,Chicago,IL,60633,
3654.0,SOUTH DAMEN AVENUE,Chicago,IL,60609,
2.0,PALMER CT,BOLINGBROOK,IL,60490,
1455.0,Sunset Rd,Highland Park,IL,60035,
595.0,WATERFORD RD,ELGIN,IL,60124,
2030.0,NORTH PINETREE DRIVE,Arlington Heights,IL,60004,
9108.0,SOUTH BRANDON AVENUE,Chicago,IL,60617,
223.0,W BROWNLOW DR,DECATUR,IL,62521,
1525.0,WILLIAM              LN,SWANSEA             ,IL,62226     ,
538.0,White Birch Rd,Lindenhurst,IL,60046,
1380.0,GETZELMAN DR,ELGIN,IL,60123,
3197.0,VILLAGE GREEN DR,AURORA,IL,60504,
2005.0,S FINLEY RD,LOMBARD           ,IL,60148,107.0
,BUTTERFIELD RD,NAPERVILLE        ,IL,60563,
36466.0,N Westmoor Ave,Lake Villa,IL,60046,
707.0,INGLESIDE PLACE,Evanston,IL,60201,
5036.0,ONEIDA AVENUE,Norridge,IL,60706,
,S CALUMET AVE,AURORA,IL,60506,
9.0,N CHAPEL ST,ELGIN,IL,60120,
1820.0,WEST CATALPA LANE,Mount Prospect,IL,60056,
,THOMAS               AVE,EAST SAINT LOUIS    ,IL,62201     ,
511.0,AURORA AVE,NAPERVILLE        ,IL,60540,516.0
2009.0,N PEORIA AVE,PEORIA,IL,61603,
2640.0,BERKSHIRE DR,GENEVA,IL,60134,
2030.0,W BRISTOL HOLLOW RD,DUNLAP,IL,61525,
129.0,ST ELLEN ST,O'FALLON,IL,62269,
1713.0,W ADAMS ST,MACOMB,IL,61455,
15704.0,MARYLAND AVENUE,Dolton,IL,60419,
1415.0,Downing Pl,Mundelein,IL,60060,
5632.0,SOUTH RICHMOND STREET,Chicago,IL,60629,
4316.0,NORTH RUTHERFORD AVENUE,Harwood Heights,IL,60706,
1760.0,Sundrop Cir,Highland Park,IL,60035,
1011.0,MOUNT PLEASANT ROAD,Winnetka,IL,60093,
2410.0,7Th St,Winthrop Harbor,IL,60096,
1023.0,CENTRAL PARK AVENUE,Flossmoor,IL,60422,
,CREEKSIDE CT,LOMBARD           ,IL,60148,
,MACARTHUR AVE,CAROL STREAM      ,IL,60188,
2020.0,74TH AVENUE,Elmwood Park,IL,60707,
1487.0,BAYOU PATH DR,NAPERVILLE        ,IL,60563,
6305.0,26TH STREET,Berwyn,IL,60402,
2227.0,N FLORA AVE,PEORIA,IL,61604,
530.0,2ND AV,MARENGO,IL,60152,
1273.0,N Red Oak Cir,Round Lake Beach,IL,60073,
,N LA FOX ST,SOUTH ELGIN,IL,60177,
2746.0,SOUTH AVERS AVENUE,Chicago,IL,60623,
7557.0,SOUTH HOYNE AVENUE,Chicago,IL,60620,
1741.0,WEST ALTGELD STREET,Chicago,IL,60614,
255.0,W HARRISON ST,LOMBARD           ,IL,60148,
15595.0,W Town Line Rd,Mettawa,IL,60045,
3415.0,GOLDFINCH DR,NAPERVILLE,IL,60564,
204.0,E GRANTLEY AVE,ELMHURST          ,IL,60126,
3740.0,CHERRY HILLS DRIVE,Flossmoor,IL,60422,
8835.0,BELFIELD DR,LAKEWOOD,IL,60014,
408.0,WEST 116TH STREET,Chicago,IL,60628,
704.0,PINEHURST LN,OSWEGO,IL,60543,
10437.0,SOUTH OAKLEY AVENUE,Chicago,IL,60643,
405.0,SPRINGWOOD DRIVE,Roselle,IL,60172,
1927.0,DRIVING PARK RD,WHEATON           ,IL,60187,
1529.0,NORTH HARDING AVENUE,Chicago,IL,60651,
740.0,DUXBURY LN,BARTLETT          ,IL,60103,
154.0,N 2900 EAST RD,STEWARDSON,IL,62463,
2403.0,N ELLIS ST,PEORIA,IL,61604,
844.0,BELLINGRATH CT,NAPERVILLE        ,IL,60563,
307.0,HARRIS AVE,CLARENDON HILLS   ,IL,60514,
12843.0,W Suddard St,Beach Park,IL,60087,
7.0,LYNNBROOK DRIVE,Prospect Heights,IL,60070,
16129.0,S   LEACH DR,HOMER GLEN,IL,60491,
