NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
732.0,S COUNTY RD 550 W RD W,BATESVILLE,IN,47240,
,CEMETERY RD RD,CONNERSVILLE,IN,47357,
7206.0,HAWKSNEST TRL,FW,IN,46835,
12007.0,BERGAMOT DR,GRANGER,IN,46530,
,S COUNTY LINE RD W,ATTICA,IN,47992,
15001.0,N 800 E RD,DUNKIRK,IN,47336,
4229.0,CONCORD RD,AVON,IN,46168,
12597.0,VALHALLA LN,FISHERS,IN,46037,
3002.0,EASTBRROK BLVD,JEFFERSONVILLE,IN,47130,
8360.0,HAGGARD  DR,MARTINSVILLE,IN,46151,
296.0,WEBBERS LN  31,BROOKVILLE,IN,47012,
1152.0,N PENNY DR,WARSAW,IN,46580,
518.0,N CANAL ST,HOWE,IN,46761,
1605.0,SAINT LOUIS AVE,FW,IN,46819,
5128.0,WEST SHAFER DR,MONTICELLO,IN,47960,
4012.0,HARRISON CROSSING,BARGERSVILLE,IN,46142,
8747.0,N EMERALD BLVD,MCCORDSVILLE,IN,46055,
400.0,LOIS WAY,CARMEL,IN,46032,
221.0,S MAIN ST,KENDALLVILLE,IN,46755,
505.0,E STATE RD 58,EDWARSPORT,IN,47528,
8132.0,W 174th Ave,LOWELL,IN,46356,
414.0,FAIRINGTON AVE,BEDFORD,IN,47905,
619.0,COMMERCE RD RD,LIBERTY,IN,47374,
1924.0,Carolina St,GARY,IN,46407,
3119.0,BATH RD,BATH,IN,47003,
,N JOHN ST,CLARKS HILL,IN,46041,
315.0,KINGS CT,MISHAWAKA,IN,46544,
808.0,W COLISEUM BLVD,FW,IN,46808,
10865.0,W 1250 N,MONTICELLO,IN,47960,
1800.0,FARM BUREAU RD,MOUNT VERNON,IN,47620,
,E 700 S,HUDSON,IN,46795,
,W 625 S,BEDFORD,IN,47909,
9710.0,FOREST CREEK DR,FW,IN,46835,
107.0,E KEITH ST,PIERCETON,IN,46562,
4260.0,E US HWY 136,BROWNSBURG,IN,46167,
1178.0,S 900 W,KEMPTON,IN,46049,
20777.0,HAGUE RD,NOBLESVILLE,IN,46062,
12815.0,E TILLMAN RD,FW,IN,46816,
1912.0,THORNHILL DR,SOUTH BEND,IN,46614,
13896.0,SALSBURY CREEK DR,CARMEL,IN,46032,
2218.0,FERRY ST,BEDFORD,IN,47904,
772.0,Hayes St,GARY,IN,46404,
660.0,E STOP 18,BARGERSVILLE,IN,46143,
1129.0,ANGELA BLVD,SOUTH BEND,IN,46616,
15635.0,WINDING BROOK DR,MISHAWAKA,IN,46545,
730.0,N 12TH ST,TERRE HAUTE,IN,47807,
10101.0,Grand Blvd,WINFIELD,IN,46307,
326.0,BARKER  RD,MICHIGAN CITY,IN,46360,
7862.0,N SANDY BEACH DR,MONTICELLO,IN,47960,
3585.0,E 100  3595,INDIANAPOLIS,IN,46140,
501.0,STUDEBAKER ST,MISHAWAKA,IN,46544,
1131.0,TWYCKENHAM DR,SOUTH BEND,IN,46617,
10714.0,N SR 67 HWY,ALBANY,IN,47320,
755.0,FREDERICK ST,Huntington,IN,46750,
1113.0,WINTHROP ST,BEDFORD,IN,47909,
221.0,S GROVE ST,LOGANSPORT,IN,46947,
51.0,EMS B40A LN,LEESBURG,IN,46538,
792.0,E CAMP JERRY RD,ENGLISH,IN,47118,
404.0,W NOBLE ST,BICKNELL,IN,47512,
404.0,S WALNUT ST,MENTONE,IN,46539,
511.0,S Joliet St,HOBART,IN,46342,
4574.0,S 700 W,WILLIAMSPORT,IN,47993,
1906.0,MARY ST,FW,IN,46808,
4090.0,PINEHURST DR,JASPER,IN,47546,
2363.0,HARVEST MOON,BARGERSVILLE,IN,46143,
1818.0,CARLISLE ST,SOUTH BEND,IN,46613,
1263.0,N POINTER ST,TERRE HAUTE,IN,47803,
860.0,MAPLEWOOD LN,AKRON,IN,46975,
4806.0,WILLIAMSBURG DR,OTISCO,IN,47163,
6690.0,ORLAND,ORLAND,IN,46776,
2517.0,W RIDGE LN,ANDERSON,IN,46013,
206.0,Willow St,LOWELL,IN,46356,
14612.0,W 3RD ST,DALEVILLE,IN,47334,
132.0,CORWIN LN,FW,IN,46816,
301.0,ELKS COUNTRY CLUB RD RD,LIBERTY,IN,47374,
254.0,Evergreen Ln,MUNSTER,IN,46321,
212.0,OAK LN,BATTLE GROUND,IN,47906,
3322.0,N ARTHUR DR,ALBION,IN,46701,
4586.0,E STATE ROAD 32,DARLINGTON,IN,47933,
734.0,CLARK BLVD,CLARKSVILLE,IN,47129,
1695.0,N 450 E,BLUFFTON,IN,46714,
201.0,PINE CT,LOGANSPORT,IN,46947,
10734.0,E 900 S,CRAWFORDSVILLE,IN,47954,
3314.0,Glenwood St,HIGHLAND,IN,46322,
5145.0,N 750 E,BUTLERVILLE,IN,47223,
2918.0,N 5TH ST,TERRE HAUTE,IN,47804,
916.0,W MARSH ST,MUNCIE,IN,47303,
5186.0,1000,RENSSELAER,IN,47978,
6492.0,STATE HWY 67,ELLETTSVILLE,IN,47433,
342.0,W 350 S,PRINCETON,IN,47670,
1066.0,N 250,LAPORTE,IN,46350,
,SCHAFER LN,SELLERSBURG,IN,47143,
11121.0,W SR 32 HWY,YORKTOWN,IN,47396,
4937.0,Grasselli St,EAST CHICAGO,IN,46312,
1807.0,EAST SPRING STREET,NEW ALBANY,IN,47150,
3233.0,WHITE MAPLE CT,SOUTH BEND,IN,46628,
906.0,N MONROE,HARTFORD CITY,IN,47348,
16211.0,PUMPHOUSE RD,BROOKVILLE,IN,47012,
611.0,MEADOWBROOK LN,HOWE,IN,46761,
221.0,KEWANNA DR,JEFFERSONVILLE,IN,47130,
2550.0,YEAGER RD,BATTLE GROUND,IN,47906,
1120.0,POPLAR DR,MONTICELLO,IN,47960,
1652.0,FRANCIS,BARGERSVILLE,IN,46131,
2532.0,ROYAL BLVD,CARMEL,IN,46032,
241.0,E TAYLOR ST,Huntington,IN,46750,
1900.0,W SR 66,NEWBURGH,IN,47630,
,E 100,HARTFORD CITY,IN,47348,
227.0,NATASHA DR,NOBLESVILLE,IN,46062,
302.0,E 37TH ST,ANDERSON,IN,46013,
2221.0,MONTCLAIR AVE,FW,IN,46808,
4625.0,N 800 W,BATTLE GROUND,IN,47906,
12402.0,N STATE RD 62,GENTRYVILLE,IN,47537,
2468.0,N 550 W,RICHLAND,IN,47634,
,Arizona Ave,HAMMOND,IN,46323,
9809.0,LYONHURST RD,FW,IN,46804,
2949.0,TYLER RD,BREMEN,IN,46506,
607.0,CHIPPEWA DR,JEFFERSONVILLE,IN,47130,
5277.0,S LINCOLN ST,SOMERVILLE,IN,47683,
9831.0,SNOWSTAR PL,FW,IN,46835,
1321.0,Fitzgerald Dr,MUNSTER,IN,46321,
2604.0,FLINT DR,CONNERSVILLE,IN,47331,
,52 MOBILE HOME ESTATES,BATTLE GROUND,IN,47906,
838.0,King St,GARY,IN,46406,
1345.0,W 200  S,BRYANT,IN,47371,
5457.0,E 650 N,PETERSBURG,IN,47640,
12814.0,RAIDERS BLVD,FISHERS,IN,46037,
2243.0,SAGAMORE PKY W,BATTLE GROUND,IN,47906,
4810.0,White Oak Terr,LOWELL,IN,46356,
707.0,STATE ST,NORTH LIBERTY,IN,46554,
1273.0,Bluebell Trl,SCHERERVILLE,IN,46375,
202.0,SOUTH ST,LAPAZ,IN,46537,
6411.0,W 900  N,MILLERSBURG,IN,46767,
3105.0,S PERSHING DR,MUNCIE,IN,47302,
5322.0,E 415  N,KENDALLVILLE,IN,46755,
1623.0,Edith Way,CROWN POINT,IN,46307,
,W STATE RD 26,ROSSVILLE,IN,46065,
2806.0,CRUMS LN,JEFFERSONVILLE,IN,47130,
10712.0,TRADE WIND CT,FW,IN,46825,
51536.0,STEEPLECHASE CT,GRANGER,IN,46530,
1369.0,W 1000  S,PENDLETON,IN,46064,
11800.0,OTTERBEIN RD SW,LACONIA,IN,47135,
10790.0,VERMONT ST,AVON,IN,46234,
3700.0,SR 68,POSEYVILLE,IN,47633,
5606.0,S 600 W,ATTICA,IN,47992,
9175.0,N TOBACCO LANDING RD SE,LACONIA,IN,47135,
1407.0,NORTHRIDGE HILLS,DARLINGTON,IN,47933,
5697.0,N BRANDYWINE RD,SHELBYVILLE,IN,46176,
3828.0,Parrish Ave,EAST CHICAGO,IN,46312,
1136.0,BUSSERON ST,VINCENNES,IN,47591,
6584.0,W CALLAWAY,MICHIGAN CITY,IN,46360,
1710.0,E MAIN ST,MUNCIE,IN,47305,
