NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
216.0,S   BELMONT AVE,WICHITA,KS,67218,
1213.0,PEBBLE BEACH LN,OTTAWA,KS,66067,
303.0,SMITH ST,DODGE CITY,KS,67801,
355.0,N   DELAWARE AVE,MANHATTAN,KS,66502,
947.0,N  BROADWAY RD,BELLE PLAINE,KS,67013,
14833.0,INGRAHM RD,CENTERVILLE,KS,66014,
189.0,E  ATKINSON AVE,FRONTENAC,KS,66763,
920.0,MELLINGER DR,SALINA,KS,67401,
921.0,S   MAIN ST,LANSING,KS,66043,
23972.0,W  231ST ST,SPRING HILL,KS,66083,
10195.0,Woodsage RD,OZAWKIE,KS,66070,
2707.0,W   79TH ST S,HAYSVILLE,KS,67060,
23150.0,147TH ST,LEAVENWORTH,KS,66048,
4300.0,PRAIRIE COUNTRY LN,RILEY,KS,66531,
725.0,N  120TH RD,LINCOLN,KS,67455,
19250.0,WALMER ST,STILWELL,KS,66085,
214.0,E  ELM ST,COLUMBUS,KS,66725,
217.0,S  5TH ST,TOWANDA,KS,67144,
2933.0,27TH ST,GREAT BEND,KS,67530,
1900.0,NW  TYLER ST,TOPEKA,KS,66608,
3016.0,SW  CLARK CT,TOPEKA,KS,66604,
711.0,MILITARY AVE,DODGE CITY,KS,67801,
,LEGLER CIR,LENEXA,KS,66219,
1438.0,SW  BIRCH LN,TOPEKA,KS,66615,
3905.0,DELMAR DR,PRAIRIE VILLAGE,KS,66208,
1584.0,WOODSON RD,BALDWIN CITY,KS,66006,
516.0,W  7TH ST,JUNCTION CITY,KS,66441,
406.0,W  3RD ST,ELLINWOOD,KS,67526,
307.0,CALIFORNIA ST,LAWRENCE,KS,66044,
438.0,N  WALNUT ST,OLATHE,KS,66061,
14757.0,S  HOMESTEAD DR,OLATHE,KS,66062,
2912.0,FLINT CT,LAWRENCE,KS,66047,
628.0,E   WASSALL ST,WICHITA,KS,67216,
524.0,W  DOUGLAS CT,ANDOVER,KS,67002,
7365.0,ROAD 36,HERNDON,KS,67739,
,W  58TH TER,SHAWNEE,KS,66216,
228.0,E   SUNNYDELL ST,DERBY,KS,67037,
823.0,BIRCH  ST,EUDORA,KS,66025,
14013.0,GARNETT ST,OVERLAND PARK,KS,66221,
15768.0,PARALLEL RD,BASEHOR,KS,66007,
4437.0,SE  GRAND OAKS AVE,TOPEKA,KS,66609,
2103.0,ROAD 130,LAKIN,KS,67860,
903.0,ALABAMA ST,LAWRENCE,KS,66044,1.0
16.0,N  HAVANA LAKE RD,HAVANA,KS,67347,
14200.0,DEARBORN ST,OVERLAND PARK,KS,66223,
643.0,350TH AVE,VICTORIA,KS,67671,
21992.0,W  125TH PL,OLATHE,KS,66061,
1820.0,W  LEONARD CT,EL DORADO,KS,67042,
3.0,PAWNEE DR,HUTCHINSON,KS,67502,
10607.0,SW  ARKANSAS RD,COLONY,KS,66015,
8418.0,E   MOUNT VERNON CT,WICHITA,KS,67207,
2812.0,MARLATT AVE,MANHATTAN,KS,66502,
3222.0,BROADWAY AVE,PARSONS,KS,67357,
,MISSION RD,PRAIRIE VILLAGE,KS,66208,
2409.0,MAPLE AVE,LEAVENWORTH,KS,66048,
2208.0,COUNTRY HILLS RD,SALINA,KS,67401,
13330.0,KIMBERLY CIR,OLATHE,KS,66061,
1451.0,FORREST AVE,LIBERAL,KS,67901,
5629.0,W  50TH ST,ROELAND PARK,KS,66202,
421.0,S  CARDINAL DR,OLATHE,KS,66062,
11945.0,W   ROLLING HILLS ST,WICHITA,KS,67212,
736.0,HOLLIDAY ST,OSAGE CITY,KS,66523,
19036.0,W  169TH ST,OLATHE,KS,66062,
515.0,S  IOWA AVE,KANOPOLIS,KS,67454,
,PERRY ST,OVERLAND PARK,KS,66221,
5800.0,ROCK CHALK DR,LAWRENCE,KS,66049,
915.0,S   APACHE DR,WICHITA,KS,67207,
7043.0,Wells RD,MERIDEN,KS,66512,
2749.0,SW  BLUE STEM DR,TOPEKA,KS,66614,
10621.0,E   CRESTWOOD CT,WICHITA,KS,67206,
7537.0,White Plume TRL E,OZAWKIE,KS,66070,
7908.0,W  151ST ST,OVERLAND PARK,KS,66223,
425.0,N  LOGAN ST,OLATHE,KS,66061,
403.0,S  LAWRENCE AVE,SCRANTON,KS,66537,
31701.0,NE  1900 RD,GARNETT,KS,66032,
,HEDGE LANE TER,SHAWNEE,KS,66226,
618.0,MORNINGSIDE DR,SALINA,KS,67401,
9000.0,E   LINCOLN ST,WICHITA,KS,67207,
1001.0,S  COMMERCIAL ST,OSWEGO,KS,67356,
,W  126TH TER,OVERLAND PARK,KS,66213,
2616.0,W  47TH TER,WESTWOOD,KS,66205,
425.0,N   EMPORIA AVE,WICHITA,KS,67202,
103.0,E  13TH ST,PLEASANTON,KS,66075,
615.0,WINDSOR CIR,PITTSBURG,KS,66762,
211.0,N  GORDY ST,EL DORADO,KS,67042,
46.0,RAMBLER RD,HUTCHINSON,KS,67502,
800.0,S  SHERMAN AVE,OLATHE,KS,66061,
1510.0,ROAD 140,EMPORIA,KS,66801,
10911.0,W  144TH TER,OVERLAND PARK,KS,66221,
10051.0,ALEMBIC RD,LEONARDVILLE,KS,66449,
2015.0,N 1000 RD,EUDORA,KS,66025,
,S  SUNSET DR,OLATHE,KS,66061,
1527.0,S   ALAMEDA ST,DERBY,KS,67037,
602.0,PROSPECT AVE,DODGE CITY,KS,67801,
1014.0,N   SAINT ANDREW AVE,GODDARD,KS,67052,
1901.0,E  23RD ST,LAWRENCE,KS,66046,
1500.0,E   TALL TREE RD,DERBY,KS,67037,
344.0,S   MAIN ST,HESSTON,KS,67062,
2005.0,BUTLER RD,RICHMOND,KS,66080,
10.0,S  BARBEE,FORT SCOTT,KS,66701,
5615.0,W  81ST TER,PRAIRIE VILLAGE,KS,66208,
4671.0,N   RIDGE RD,WICHITA,KS,67205,
1507.0,W  PARK ST,DODGE CITY,KS,67801,
527.0,E  16TH,WELLINGTON,KS,67152,
402.0,N   VAN BUREN ST,MANTER,KS,67862,
2231.0,W   25TH ST N,WICHITA,KS,67204,
1415.0,N 960 RD,LAWRENCE,KS,66046,
3100.0,SW  30TH ST,TOPEKA,KS,66614,
725.0,CLARK RD,WILLIAMSBURG,KS,66095,
2065.0,NE  160 AVE,HOLYROOD,KS,67450,
208.0,W  KIMBALL ST,PARKER,KS,66072,
929.0,MERRILL ST,SALINA,KS,67401,
436.0,W  WALNUT ST,TROY,KS,66087,
350.0,K RD,PIEDMONT,KS,67122,
1311.0,E   BROADBECK ST,WICHITA,KS,67219,
818.0,W   SUNRISE DR,WICHITA,KS,67217,
5129.0,E   BLAKE CT,WICHITA,KS,67218,
822.0,FREMONT ST,MANHATTAN,KS,66502,7.0
9211.0,E   HARRY ST,WICHITA,KS,67207,
2061.0,W  ROAD 230,SCOTT CITY,KS,67871,
435.0,CAMDEN DR,SALINA,KS,67401,
818.0,E  PARMA WAY,GARDNER,KS,66030,
15620.0,CEDAR ST,BASEHOR,KS,66007,
1817.0,SE  MARYLAND AVE,TOPEKA,KS,66607,
11432.0,SW  HWY 254,TOWANDA,KS,67144,
631.0,PRAIRIE ST,EMPORIA,KS,66801,
8745.0,RILEY ST,OVERLAND PARK,KS,66212,
8340.0,S   LULU AVE,HAYSVILLE,KS,67060,
2305.0,SW  33RD ST,TOPEKA,KS,66611,
118.0,N  CEDAR,MARION,KS,66861,
2373.0,4TH RD,GREENLEAF,KS,66943,
8540.0,SW  85TH ST,AUBURN,KS,66402,
15002.0,ROAD O,KISMET,KS,67859,
2063.0,TECUMSEH RD,MANHATTAN,KS,66502,
5030.0,NEWTON ST,OVERLAND PARK,KS,66202,
9748.0,SW  160 AVE,NASHVILLE,KS,67112,
500.0,W  3RD ST,ELLINWOOD,KS,67526,
1931.0,N  GRACE AVENUE CT,ANDOVER,KS,67002,
2017.0,BELMONT DR,EMPORIA,KS,66801,
17565.0,SE  140 AVE,NORWICH,KS,67118,
10706.0,WALMER ST,OVERLAND PARK,KS,66211,
101.0,S  WASHINGTON,FORT SCOTT,KS,66701,
110.0,W  4TH AVE,GARNETT,KS,66032,
715.0,W  SCHILLING RD,SALINA,KS,67401,
10605.0,S   STERLING RD,ABBYVILLE,KS,67510,
12009.0,STEARNS ST,OVERLAND PARK,KS,66213,
1029.0,S   WOODLAWN BLVD,WICHITA,KS,67218,
1356.0,E  80TH AVE N,BELLE PLAINE,KS,67013,
14684.0,251ST RD,CAMBRIDGE,KS,67023,
1208.0,W   31ST AVE,HUTCHINSON,KS,67502,
1453.0,CORONADO RD,BENNINGTON,KS,67422,
117.0,NEBRASKA AVE,LE ROY,KS,66857,
1490.0,NORTH SHORE CIR,GARDEN CITY,KS,67846,
705.0,S   6TH ST,ATWOOD,KS,67730,
211.0,RIVERVIEW AVE,LEAVENWORTH,KS,66048,
317.0,CLARK,SHARON SPRINGS,KS,67758,
2476.0,K4 HWY,TOPEKA,KS,66617,
29.0,I135 HWY,NEWTON,KS,67114,
3625.0,W  20TH AVE,EMPORIA,KS,66801,
1913.0,LACY  DR,JUNCTION CITY,KS,66441,
408.0,SE  RICE RD,TOPEKA,KS,66607,
,W  102ND TER,OVERLAND PARK,KS,66212,
1521.0,N  3RD ST E,LOUISBURG,KS,66053,
1008.0,W   DAYTON AVE,WICHITA,KS,67213,
2221.0,E   12TH ST N,WICHITA,KS,67214,
401.0,N   IVAH DR,HAYSVILLE,KS,67060,
115.0,W   2ND AVE,HUTCHINSON,KS,67501,
11905.0,W  160TH PL,OVERLAND PARK,KS,66221,
14993.0,W  130TH ST,OLATHE,KS,66062,
1570.0,N   WOMER DR,WICHITA,KS,67203,
2316.0,SW  HAZELTON CT,TOPEKA,KS,66606,
,PERRY ST,OVERLAND PARK,KS,66204,
12720.0,SW  110TH ST,AUGUSTA,KS,67010,
1905.0,MACARTHUR CT,INDEPENDENCE,KS,67301,
21670.0,S  SAIL A WAY DR,OVERBROOK,KS,66524,
1800.0,NAISMITH DR,LAWRENCE,KS,66044,
,FLINT ST,SHAWNEE,KS,66214,
14710.0,W  74TH ST,SHAWNEE,KS,66216,
430.0,E  ABBY CIR,EL DORADO,KS,67042,
2472.0,25000 RD,MCCUNE,KS,66753,
20714.0,W  108TH ST,OLATHE,KS,66061,
3232.0,S   CLIFTON AVE,WICHITA,KS,67216,
1920.0,S  HUNTINGTON BLVD,FORT SCOTT,KS,66701,
2573.0,US 59 HWY,OTTAWA,KS,66067,
1312.0,CENTER ST,EMPORIA,KS,66801,
1012.0,N   MONROE ST,HUTCHINSON,KS,67501,
4881.0,CATTLE DR,MANHATTAN,KS,66502,
5307.0,FALMOUTH RD,FAIRWAY,KS,66205,
