NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
18.0,LORDSBURG CT,ELIZABETHTOWN,KY,42701,
920.0,N LOGSDON PKWY,RADCLIFF,KY,40160,
7515.0,JUDY AVE,LOUISVILLE,KY,40214,
3516.0,BARBOUR PLACE CIR,SPRING VALLEY,KY,40241,
163.0,PLANTATION DR,RICHMOND,KY,40475,
254.0,S COLLINS ST,RICHMOND,KY,40475,
1190.0,S DIXIE BLVD,RADCLIFF,KY,40160,117.0
4472.0,SOUTHBRIDGE CT,LOUISVILLE,KY,40272,
808.0,SMITH WAY,BOWLING GREEN,KY,42103,
240.0,APPLE VALLEY RD,BOWLING GREEN,KY,42101,
10025.0,BALD KNOB RD,Franklin,KY,40601,
240.0,CREEKWOOD AV,BOWLING GREEN,KY,42104,
113.0,CAMBRIDGE STATION RD,JEFFERSONTOWN,KY,40223,
6609.0,HOLLY LAKE DR,LOUISVILLE,KY,40291,
1522.0,S 30TH ST,LOUISVILLE,KY,40211,
9130.0,41 USHY  S,Henderson,KY,42420-0000,
3815.0,THERINA WAY,LOUISVILLE,KY,40241,
2800.0,TIROL CT,JEFFERSONTOWN,KY,40220,
7535.0,DOE  LN,Henderson,KY,42420-0000,
5960.0,BIG BEND RD,Meade,KY,40104,
9613.0,SEATONVILLE RD,LOUISVILLE,KY,40291,
405.0,CLARE LN,LOUISVILLE,KY,40206,
9503.0,POLARIS DR,LOUISVILLE,KY,40229,
662.0,S 23RD ST,LOUISVILLE,KY,40211,
7123.0,YORKTOWN TER,LOUISVILLE,KY,40214,3.0
10508.0,LILLY GARDEN DR,LOUISVILLE,KY,40291,
7311.0,SUNSET LN,Oldham,KY,40014,
509.0,TUCKER STATION RD,MIDDLETOWN,KY,40243,
4305.0,SEAGRAPE RD,JEFFERSONTOWN,KY,40299,
1200.0,W HILL ST,LOUISVILLE,KY,40210,
333.0,S PRESTON ST,LOUISVILLE,KY,40202,
710.0,M ST,LOUISVILLE,KY,40208,4.0
7901.0,MOSS GREEN WAY,LOUISVILLE,KY,40291,
1861.0,YALE DR,LOUISVILLE,KY,40205,
212.0,CHERRY WAY,BOWLING GREEN,KY,42103,
1258.0,RED HOUSE RD,RICHMOND,KY,40475,
1629.0,ELM RD,RADCLIFF,KY,40160,
8118.0,VIGO RD,Shelby,KY,40003,
9984.0,VIEUX CARRE DR,LOUISVILLE,KY,40223,
2002.0,FROG POND WAY,LOUISVILLE,KY,40245,
3742.0,OAKDALE AVE,LOUISVILLE,KY,40214,
945.0,S 1ST ST,LOUISVILLE,KY,40203,
12602.0,BERNAY PL,MIDDLETOWN,KY,40243,
4609.0,HANEY WAY,LOUISVILLE,KY,40272,
11509.0,WILLOW STREAM CT,LOUISVILLE,KY,40299,302.0
5507.0,FERNFIELD DR,LOUISVILLE,KY,40219,203.0
2004.0,BARTHOLOMEW DR,LOUISVILLE,KY,40218,
1309.0,HUNTINGTON LN,LOUISVILLE,KY,40219,
357.0,SOUTHLAND DR,RADCLIFF,KY,40160,4.0
4304.0,FENCE PL,LOUISVILLE,KY,40241,
108.0,PEMBRIDGE CT,LOUISVILLE,KY,40245,
122.0,OAKLAND AV,RICHMOND,KY,40475,
7410.0,S PARK PL,NORWOOD,KY,40222,201.0
3012.0,MID DALE LN,LOUISVILLE,KY,40220,2.0
2546.0,TREVILIAN WAY,LOUISVILLE,KY,40205,
331.0,SIXTH  ST,Henderson,KY,42406,
211.0,W OAK ST,LOUISVILLE,KY,40203,412.0
315.0,WOODLAND LAKES DR,Oldham,KY,40031,
3010.0,WEDGEWOOD WAY,LOUISVILLE,KY,40220,
417.0,SOUTHWESTERN PKY,LOUISVILLE,KY,40212,
1817.0,ROCK CREEK RD,BIG CLIFTY,KY,42712,
1301.0,CASHWICK AVE,Oldham,KY,40031,
8806.0,BROOK WILLOW DR,LOUISVILLE,KY,40299,
2428.0,DUNDEE RD,LOUISVILLE,KY,40205,
1055.0,RUNELL RD,LOUISVILLE,KY,40214,
326.0,MONOHAN DR,ST MATTHEWS,KY,40207,
108.0,SOUTH PARK CIR,ELIZABETHTOWN,KY,42701,
4127.0,DIENES WAY,LOUISVILLE,KY,40216,
675.0,LINDELL AVE,LOUISVILLE,KY,40211,3.0
5511.0,REFLECTION DR,LOUISVILLE,KY,40218,
10392.0,TSCHARNER  RD,Henderson,KY,42420-0000,
4814.0,RAILROAD AVE,LOUISVILLE,KY,40258,
439.0,BAXTER AVE,LOUISVILLE,KY,40204,1.0
16824.0,MALLET HILL DR,LOUISVILLE,KY,40245,
6048.0,BROWNS PARK CIR,LOUISVILLE,KY,40272,
3004.0,RIVER RD,LOUISVILLE,KY,40207,
203.0,RIDGEWAY DR,RICHMOND,KY,40475,
392.0,LINDSEY AVE,Franklin,KY,40601,
4735.0,COLBY RD,Clark,KY,40391,
6930.0,BARDSTOWN RD,ELIZABETHTOWN,KY,42701,
2911.0,60 USHY  E,Henderson,KY,42420,
2226.0,LIVERPOOL LN,LOUISVILLE,KY,40218,17.0
1321.0,PAINT LICK RD,PAINT LICK,KY,40461,
182.0,IVY LN,Shelby,KY,40065,
6805.0,ARON RD,LOUISVILLE,KY,40258,
36.0,S ALVES  ST,Henderson,KY,42420-0000,
2911.0,SOUTH PARK RD,LOUISVILLE,KY,40219,
4531.0,BISHOP LN,WATTERSON PARK,KY,40218,
5700.0,OLD SLIGO RD,Oldham,KY,40031,
10506.0,FOXBORO DR,LOUISVILLE,KY,40223,
5320.0,MILNER RD,LOUISVILLE,KY,40216,11.0
7713.0,CIRCLE CREST RD,SPRING VALLEY,KY,40241,
321.0,E WASHINGTON ST,GEORGETOWN,KY,40324,
425.0,W ORMSBY AVE,LOUISVILLE,KY,40203,203.0
117.0,WILTSHIRE AVE,LOUISVILLE,KY,40207,
2330.0,CRITTENDEN DR,LOUISVILLE,KY,40217,509.0
101.0,CLOVER DR,VINE GROVE,KY,40175,
2236.0,PARIS DR,LOUISVILLE,KY,40218,
2400.0,WESTWOOD AVE,LOUISVILLE,KY,40220,
108.0,QUACHITA TRL,Franklin,KY,40601,4.0
5630.0,S WILSON RD,ELIZABETHTOWN,KY,42701,
515.0,LANGLEY TRCE,ELIZABETHTOWN,KY,42701,
3818.0,RIVER PARK DR,LOUISVILLE,KY,40211,
5208.0,FIRWOOD LN,LOUISVILLE,KY,40291,
3415.0,CALAIS DR,JEFFERSONTOWN,KY,40299,
800.0,KENWAY ST,BEREA,KY,40403,
12600.0,VALLEY PINE DR,LOUISVILLE,KY,40299,
159.0,DELISSA DR,GEORGETOWN,KY,40324,
247.0,HIGHLAND  DR,Henderson,KY,42420-0000,
7915.0,CANONERO WAY,LOUISVILLE,KY,40291,310.0
128.0,S 8TH ST,LOUISVILLE,KY,40202,
8605.0,ROBERTA CT,LOUISVILLE,KY,40291,
1343.0,S BROOK ST,LOUISVILLE,KY,40208,
2030.0,UNITY PL,LOUISVILLE,KY,40208,
6604.0,GLENBROOK AVE,LOUISVILLE,KY,40216,
129.0,IRVING LN,GEORGETOWN,KY,40324,
3111.0,DOGWOOD DR,LOUISVILLE,KY,40220,
9615.0,COOPER CHURCH DR,LOUISVILLE,KY,40229,303.0
426.0,W LYNN ST,GEORGETOWN,KY,40324,
8705.0,HONEYSUCKLE CT,BRIARWOOD,KY,40242,
11817.0,ROBINDALE RD,MIDDLETOWN,KY,40243,
0.0,TRAMMEL CREEK DR,ALVATON,KY,42122,
3816.0,LEANING OAK RD,SADIEVILLE,KY,40370,
9206.0,LINN STATION RD,HURSTBOURNE,KY,40222,103.0
1225.0,S 6TH ST,LOUISVILLE,KY,40203,1.0
204.0,CHERYL AVE,VINE GROVE,KY,40175,
1346.0,CHESTNUT ST,BOWLING GREEN,KY,42102,
327.0,BROOKFIELD VIEW DR,LOUISVILLE,KY,40245,
1296.0,MORRIS RD,Clark,KY,40391,
4003.0,CARBINE LN,LOUISVILLE,KY,40229,
6606.0,W 22,Oldham,KY,40014,
200.0,VALLEY ST,RICHMOND,KY,40475,
9804.0,STANALOUISE DR,LOUISVILLE,KY,40291,
18009.0,LORRAINE WAY,LOUISVILLE,KY,40023,
104.0,TWIN PINES LN,Franklin,KY,40601,
4018.0,CHEVIOT DR,SHIVELY,KY,40216,
103.0,QUIETSIDE CT,VINE GROVE,KY,40175,
1204.0,HEATHERBOURNE DR,Oldham,KY,40031,
7606.0,SMYRNA RD,LOUISVILLE,KY,40228,
8000.0,JOHN DAVIS DR,Franklin,KY,40601,1911.0
2013.0,PEABODY CT,LOUISVILLE,KY,40218,
1.0,POWELL DR,RICHMOND,KY,40475,
609.0,EDGEWATER DR,ELIZABETHTOWN,KY,42701,
