NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
2310.0,WASHINGTON STREET,NEWTON,MA,2462,100.0
15.0,UNION AVENUE,MILTON,MA,2186,
104.0,RIDGEWOOD LANE,GARDNER,MA,1440,18.0
2.0,ROBINSON ROAD,MENDON,MA,1756,
205.0,FOREST STREET,METHUEN,MA,1844,
24.0,FORGE POND,CANTON,MA,2021,
29.0,MAIN STREET,GLOUCESTER,MA,1930,1.0
1.0,STANLEY AVENUE,HAVERHILL,MA,1830,1.0
,SUGARLOAF STREET,SOUTH DEERFIELD,MA,1373,
151.0,PROVIDENCE ROAD,GRAFTON,MA,1519,
68.0,OLD RIGHT ROAD,IPSWICH,MA,1938,
80.0,WEBSTER AVENUE,SOMERVILLE,MA,2143,
2114.0,WASHINGTON STREET,BRAINTREE,MA,2184,
19.0,REEVES STREET,WORCESTER,MA,1607,3.0
48.0,MENDON ROAD,ATTLEBORO,MA,2703,
315.0,RANDOLPH STREET,WEYMOUTH,MA,2190,
19.0,LAMBERT AVENUE,WEYMOUTH,MA,2189,
67.0,TANNERY ROAD,SOUTHWICK,MA,1077,
156.0,EAST MAIN STREET,ORANGE,MA,1364,
63.0,MARION STREET,EAST BOSTON,MA,2128,
95.0,MARYLAND STREET,NEW BEDFORD,MA,2745,
141.0,NEW BALCH STREET,BEVERLY,MA,1915,
144.0,BOG POND ROAD,BREWSTER,MA,2631,
21.0,OREAD STREET,WORCESTER,MA,1608,5.0
,CHESTNUT STREET,CONCORD,MA,01742,
70.0,NEWPORT STREET,ARLINGTON,MA,2476,2.0
410.0,PLYMOUTH STREET,MIDDLEBOROUGH,MA,2346,
1175.0,CHESTNUT STREET,NEWTON,MA,2464,6.0
0.0,OLD COLONY LANE,MARSHFIELD,MA,2050,22.0
10.0,HARNUM WAY,MARION,MA,2738,
19.0,HAVERSTOCK ROAD,FRANKLIN,MA,2038,
577.0,SHOOTFLYING HILL ROAD,CENTERVILLE,MA,2632,
35.0,DOW ROAD,WEST ROXBURY,MA,2132,
80.0,BROAD STREET,BOSTON,MA,02110,
49.0,WARD STREET,LEXINGTON,MA,02421,
39.0,PLEASANT STREET,EVERETT,MA,2149,2.0
47.0,GERALD ROAD,MILTON,MA,2186,
2.0,ALLSTON AVENUE,WILMINGTON,MA,1887,
51.0,ALMY ROAD,SOMERSET,MA,2726,
184.0,BROWNELL STREET,NEW BEDFORD,MA,2740,
90.0,EAST BROOKLINE STREET,BOSTON,MA,2118,2.0
51.0,FANEUIL STREET,BRIGHTON,MA,2135,154.0
283.0,CENTRE STREET,NEWTON,MA,2458,
1187.0,TINKHAM ROAD,WILBRAHAM,MA,1095,
22.0,KING ARTHUR WAY,MANSFIELD,MA,2048,
409.0,POND STREET,BRAINTREE,MA,2184,2.0
242.0,MAIN STREET,NORFOLK,MA,2056,
52.0,GLENWOOD AVENUE,CENTERVILLE,MA,2632,
895.0,FEDERAL FURNACE ROAD,PLYMOUTH,MA,2360,
64.0,DEARBORN STREET,SALEM,MA,1970,
62.0,LAKEVIEW STREET,SOUTHWICK,MA,01077,
19.0,MALL STREET,SALEM,MA,1970,
14.0,COLUMBUS AVENUE,SAUGUS,MA,1906,
15.0,BECKETT STREET,PEABODY,MA,1960,1.0
112.0,TREMONT STREET,MALDEN,MA,02148,
188.0,WOLLASTON STREET,SPRINGFIELD,MA,1119,
