NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
117.0,LA LOMA ST,TAOS,NM,87571,
2205.0,SMITH LN,FARMINGTON,NM,87401,
607.0,HYDRO PLANT RD,FARMINGTON,NM,87401,
802.0,9TH ST,LOS ALAMOS,NM,87544,
400.0,CAMINO DON MIGUEL,Santa Fe,NM,87505,
55.0,ROAD 5479,FARMINGTON,NM,87401,
588.0,CENTRAL AVE,LOS ALAMOS,NM,87544,
524.0,ALTO ST,Santa Fe,NM,87501,
6151.0,AIRPORT RD,Santa Fe,NM,87507,250.0
3301.0,CRESCENT AVE,FARMINGTON,NM,87401,
2011.0,TROY KING RD,FARMINGTON,NM,87401,
2701.0,EAST RIDGE CT,FARMINGTON,NM,87401,
2001.0,HOPEWELL ST,Santa Fe,NM,87505,
4800.0,PEREGRINE CIR,FARMINGTON,NM,87401,
2601.0,VISTA DE JEMEZ,Santa Fe,NM,87505,
17.0,ROAD 7102,FARMINGTON (NO DELIVERY),NM,87401,
533.0,ESTE ES RD,TAOS,NM,87571,
2630.0,N DUSTIN AVE,FARMINGTON,NM,87401,31.0
10.0,GARDUNO RD,ARROYO HONDO,NM,87513,
,37TH ST,LOS ALAMOS,NM,87544,
1430.0,SANTA CRUZ RD,TAOS,NM,87571,
320.0,KEARNY AVE,Santa Fe,NM,87501,8.0
2800.0,N DUSTIN AVE,FARMINGTON,NM,87401,105.0
101.0,GARDEN,BLOOMFIELD,NM,87413,
17.0,ROAD 4275,NAVAJO DAM,NM,87419,
3500.0,N BUTLER AVE,FARMINGTON,NM,87401,4101.0
6397.0,JAGUAR DR,Santa Fe,NM,87507,
2813.0,VEREDA DE PUEBLO,Santa Fe,NM,87507,
463.0,CAMINO MANZANO,Santa Fe,NM,87505,
,45TH ST,LOS ALAMOS,NM,87544,
101.0,CAMINO RIO,Santa Fe,NM,87501,
1100.0,OSAGE AVE,Santa Fe,NM,87505,
5677.0,US 64,FARMINGTON,NM,87401,
506.0,E 16TH ST,FARMINGTON,NM,87401,
26520.0,US HIGHWAY 60,FORT SUMNER,NM,88119,
626.0,47TH ST,LOS ALAMOS,NM,87544,
,AZTEC,AZTEC,NM,87410,20.0
120.0,HERDNER RD,TAOS,NM,87571,
4633.0,GILA ST,FARMINGTON,NM,87402,12.0
4300.0,ENGLISH RD,FARMINGTON,NM,87402,
900.0,CANNERY CT,FARMINGTON,NM,87401,9101.0
2781.0,LA SILLA DORADA,Santa Fe,NM,87505,
4602.0,PACIFIC ST,FARMINGTON,NM,87402,
718.0,S SAINT FRANCIS DR,Santa Fe,NM,87505,
4300.0,W MAIN ST,FARMINGTON,NM,87401,
212.0,PASEO DEL PUEBLO SUR,TAOS,NM,87571,
135.0,MARTINEZ RD,TRES PIEDRAS,NM,87577,
13.0,THUNDERBIRD RD,TAOS SKI VALLEY,NM,87525,
90.0,ROAD 4025,IGNACIO,NM,81137,
971.0,NAMBE LOOP,LOS ALAMOS,NM,87544,
46.0,ROAD 6405,KIRTLAND,NM,87417,
2083.0,AVENIDA DE LAS ALTURAS,Santa Fe,NM,87505,
1930.0,SAN JUAN BLVD,FARMINGTON,NM,87401,
391.0,ROAD 3100,AZTEC,NM,87410,
6151.0,AIRPORT RD,Santa Fe,NM,87507,332.0
