NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
2913.0,WOODROW ST,Allegheny,PA,15133,
,E ALLEGHENY AVE,Philadelphia,PA,19134-5903,
44.0,RUTHFRED DR,Allegheny,PA,15241,
2017.0,JEFFERSON ST,Philadelphia,PA,19121-4138,
3174.0,HENRICH FARM LN,Allegheny,PA,15101,
2.0,EDITH PL,Allegheny,PA,15213,
8627.0,MAPLE GROVE RD,York,PA,17362,
,YOCUM ST,Philadelphia,PA,19142-1619,
3175.0,HACKBERRY LN,York,PA,17404,
127.0,WILMAR DR,Allegheny,PA,15238,
1200.0,SATELLITE CIR,Allegheny,PA,15241,
92.0,SPRINGERS LN,York,PA,17070,
2840.0,N LEE ST,Philadelphia,PA,19134-3306,
1229.0,LEISTER VALLEY RD,MCALISTERVILLE,PA,17049,
4703.0,PARRISH ST,Philadelphia,PA,19139-1843,
,PENNINGTON RD,WARRIORS MARK,PA,16877,
1224.0,SUMMERSWOOD DR,ST THOMAS,PA,17252,
5869.0,LORENE DR,Allegheny,PA,15102,
314.0,S SMEDLEY ST,Philadelphia,PA,19103-6718,
101.0,HANKEY FARMS DR,Allegheny,PA,15071,
283.0,KERNEL LN,York,PA,17319,
603.0,HARKINS CT,York,PA,17339,
2.0,MCCLANE ST,Allegheny,PA,15031,
,N 02ND ST,Philadelphia,PA,19106-1306,
1950.0,NIAGARA LN,York,PA,17408,
575.0,ETTINGER RD,BEAVER SPRINGS,PA,17812,
6717.0,SYLVESTER ST,Philadelphia,PA,19149-2217,
5448.0,LEDGE RD,SLATINGTON,PA,18080,
4809.0,AU SABLE DR,Allegheny,PA,15044,
115.0,GORHAM AVE,MAYFIELD BOROUGH,PA,18433,
201.0,BOYLES AVE,NEW CASTLE CITY,PA, ,
1522.0,TYNDALL ST,Allegheny,PA,15204,
3452.0,F ST,Philadelphia,PA,19134-1225,
1500.0,PENROD ST,Allegheny,PA,15135,
273.0,OAK DR,Allegheny,PA,15108,
3206.0,JODI LN,York,PA,17315,
2652.0,N FIFTH ST,Dauphin,PA,17110,
,RICHMOND ST,Philadelphia,PA,19137-1418,
820.0,N CAPITOL ST,Philadelphia,PA,19130-1445,
431.0,N 64TH ST,Philadelphia,PA,19151-4122,
,S WASHINGTON SQ,Philadelphia,PA,19106-4115,3107.0
106.0,W SUSQUEHANNA AVE,Philadelphia,PA,19122-1715,
900.0,STEEN RD,Allegheny,PA,15017,
752.0,REBECCA AVE,Allegheny,PA,15221,
2110.0,E CLEARFIELD ST,Philadelphia,PA,19134-3746,
6374.0,LIBRARY RD,Allegheny,PA,15129,
413.0,HARTEL AVE,Philadelphia,PA,19111-2420,
305.0,ORCHARD DR,Allegheny,PA,15236,
3859.0,RICHMOND ST,Philadelphia,PA,19137-1415,
231.0,BERKSTONE CIR,Dauphin,PA,17112,
626.0,GRIFFIN ST,Allegheny,PA,15211,
3278.0,MILLER ST,Philadelphia,PA,19134-5226,
101.0,NAMY DR,Allegheny,PA,15220,
,N 6TH ST,ALLENTOWN,PA,18102,
8622.0,WILLIAMS AVE,Philadelphia,PA,19150-1919,
32.0,SUMMIT ST,Philadelphia,PA,19118-0000,
178.0,INDEPENDENCE WAY,Allegheny,PA,15143,
843.0,N SHERMAN ST,ALLENTOWN,PA,18109,
318.0,YORK WAY,Allegheny,PA,15213,
543.0,ELIZABETH AVE,Allegheny,PA,15136,
15162.0,INA DR,Philadelphia,PA,19116-1450,
416.0,W VENANGO ST,Philadelphia,PA,19140-4543,
2005.0,E  CARSON ST,Allegheny,PA,15203,
1243.0,MURDOCH RD,Allegheny,PA,15217,
161.0,BURROWS ST,Allegheny,PA,15213,
5082.0,F ST,Philadelphia,PA,19124-3502,
216.0,RUTHERGLEN DR,Allegheny,PA,15071,
652.0,S SECOND ST,Dauphin,PA,17113,
101.0,BUBERNAK ST,OLD FORGE BOROUGH,PA,18518,
260.0,SCARLET CIR,GREENCASTLE,PA,17225,
744.0,N 8TH ST,ALLENTOWN,PA,18102,
818.0,PITTSBURGH ST,Allegheny,PA,15144,
785.0,SILOAM RD,CHAMBERSBURG,PA,17201,
5450.0,ANGORA TER,Philadelphia,PA,19143-3116,
208.0,ERWIN PL,Allegheny,PA,15136,
2008.0,BLACK BEAR WAY,Allegheny,PA,15017,
,E GORGAS LA,Philadelphia,PA,19150-0000,
424.0,PARK AVE,Allegheny,PA,15025,
6215.0,WALNUT ST,Philadelphia,PA,19139-3707,
738.0,CARPENTER ST,Philadelphia,PA,19147-3908,
36.0,S FRANKLIN ST,CHAMBERSBURG,PA,17201,
10912.0,LICKING CREEK RD,MIFFLINTOWN,PA,17059,
103.0,HAKES HOLLOW RD,York,PA,17368,
2908.0,RHONDA LN,ALLENTOWN,PA,18103,
1241.0,FIRWOOD DR,Allegheny,PA,15243,
327.0,S MAIN ST,York,PA,17356,
209.0,UNION ST,TAYLOR BOROUGH,PA,18517,
2408.0,S PERCY ST,Philadelphia,PA,19148-3730,
361.0,E CHEW ST,ALLENTOWN,PA,18103,
2120.0,LEONARD ST,York,PA,17404,
1517.0,KING JOHN DR,Allegheny,PA,15237,
317.0,VINE ST,Philadelphia,PA,19106-1108,
120.0,VALLEY RD,York,PA,17327,
2302.0,CATHARINE ST,Philadelphia,PA,19146-1706,
326.0,N HOLLY ST,Philadelphia,PA,19104-2247,
402.0,W  8TH AVE,Allegheny,PA,15120,
1265.0,PATTON DR,Allegheny,PA,15076,
256.0,YOUNG DR,Allegheny,PA,15146,
19.0,DEARBORN ST,Philadelphia,PA,19139-0000,
37.0,N OAKWOOD LN,SELINSGROVE,PA,17870,
710.0,FAIRGROUND AVE,CHAMBERSBURG,PA,17201,
2043.0,PEMBERTON ST,Philadelphia,PA,19146-1318,
9873.0,OLD US 22,BREINIGSVILLE,PA,18031,
1421.0,GORDON ST,ALLENTOWN,PA,18102,
2945.0,ABBEY LN,Allegheny,PA,15129,
166.0,W HORTTER ST,Philadelphia,PA,19119-2706,
474.0,SPRIGGLE LN,RICHFIELD,PA,17086,
1620.0,PILLOW AVE,Allegheny,PA,15049,
426.0,MARKLE ST,Philadelphia,PA,19128-3605,
28.0,PINE ST,EMMAUS,PA,18049,
8535.0,CARLISLE RD,York,PA,17365,
6162.0,ROUTE 35,FREEBURG,PA,17827,
1324.0,W RUSH ST,Philadelphia,PA,19132-2710,
2010.0,N GRATZ ST,Philadelphia,PA,19121-1512,
224.0,S 2ND ST,EMMAUS,PA,18049,
939.0,W TREMONT ST,WHITEHALL,PA,18052,
601.0,OLD YORK RD,York,PA,17319,
3603.0,N SIXTH ST,Dauphin,PA,17110,
2022.0,DERRY ST,Dauphin,PA,17104,
949.0,LENAPE CIR,CATASAUQUA,PA,18032,
2057.0,MARKET STREET EXT,Dauphin,PA,17057,
7664.0,SHERWOOD RD,Philadelphia,PA,19151-2020,
440.0,ROBBINS ST,Philadelphia,PA,19111-0000,
5001.0,N WARNOCK ST,Philadelphia,PA,19141-3912,
791.0,CHAMBERS ST,Dauphin,PA,17113,
2285.0,WALNUT BOTTOM RD,York,PA,17408,
4124.0,WHITING RD,Philadelphia,PA,19154-2807,
4804.0,OLD BOSTON RD,Allegheny,PA,15227,
1000.0,ELLA ST,Allegheny,PA,15136,
2646.0,S DEWEY ST,Philadelphia,PA,19142-3520,
406.0,W BRISTOL ST,Philadelphia,PA,19140-2622,
212.0,W SOMERSET ST,Philadelphia,PA,19133-3514,
938.0,N 5TH ST,ALLENTOWN,PA,18102,
107.0,STRASSBURG CIR,York,PA,17361,
2036.0,SOUTH ST,Philadelphia,PA,19146-1321,
405.0,W  10TH AVE,Allegheny,PA,15084,
4445.0,E THOMPSON ST,Philadelphia,PA,19137-1630,
4261.0,ORCHARD ST,Philadelphia,PA,19124-4605,
9535.0,RT   75   S,EAST WATERFORD,PA,17021,
,GERMANTOWN AVE,Philadelphia,PA,19118-3421,
2645.0,BRENTWOOD DR,COOPERSBURG,PA,18036,
6237.0,ELLSWORTH ST,Philadelphia,PA,19143-2912,
2729.0,SHELLY ST,Allegheny,PA,15203,
816.0,N 23RD ST,Philadelphia,PA,19130-1904,
