NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
110,CONCORD ST,NORTH AUGUSTA,SC,29841,
5470,CHARLESTON HWY,WILLISTON,SC,29853,
510,MIDWAY CT,MONCKS CORNER,SC,29461,
1925,BACONS BRIDGE RD,Summerville,SC,29485,
343,RAINBOW CIR,CLOVER,SC,29710,
310,JONAS RD,ISLANDTON,SC,29929,
861,CRYSTAL SPRINGS DR,PELION,SC,29123,
633,GARRISON RD,Greenville,SC,29669,
2897,TRULUCK JOHNSON RD,Aynor,SC,29511,
3213,E  HANDY LN,FLORENCE,SC,29506,
51,WINDERMERE BLVD,Charleston,SC,29407,
438,RAYMOND ST,SUMTER,SC,29150,
164,GLENMOOR DR,Conway,SC,29526,
104,SHEA CT,Greenville,SC,29681,
13,TOWN PARK LN,Charleston,SC,29412,
1918,MANNING PL,ROCK HILL,SC,29730,
208,HARDEE AVE,Summerville,SC,29485,
518,CLARET WAY,JOHNS ISLAND,SC,29455,
126,SPRINGDALE DR,UNION,SC,29379,
3922,MARYLAND AV,CHARLESTON,SC,29404,
1291,SEGAR ST,Johns Island,SC,29455,
155,CHILLINGHAM RD,IRMO,SC,29063,
15,ROSE LN,Charleston,SC,29403,
401,S WESTON ST,Greenville,SC,29644,
126,ROSELLE AV,GOOSE CREEK,SC,29445,
467,WOODMEADOW DR,WALTERBORO,SC,29488,
300,BROOK GLENN RD,Greenville,SC,29687,29
33,CANNON ST,Charleston,SC,29403,
2623,MARCUS VALLEY DR,HARTSVILLE,SC,29550,
6620,HIWASSEE RUN,AIKEN,SC,29803,
2270,WINDING OAKS RD,DARLINGTON,SC,29532,
54,JUDE CT,Greenville,SC,29651,
151,ARTILLERY CT,Greenville,SC,29673,
208,MEADOWFIELD RD,GASTON,SC,29053,
2818,POND BRANCH RD,LEESVILLE,SC,29070,
1308,BRIGANTINE RD,North Myrtle Beach,SC,29582,
609,MCCOWN DR,Conway,SC,29526,
125,RICHARDSON DR,PELZER,SC,29669,
,LUCAS ST,ROCK HILL,SC,29730,
71,LIGHTHOUSE RD,THE SHOPS AT SEA PINES CENTER,SC,29928,615
112,COLEWOOD PL,Greenville,SC,29681,
,ROCK GLEN DR,ROCK HILL,SC,29732,204
208,ROANOKE DR,DARLINGTON,SC,29532,
626,E ORR ST,ANDERSON,SC,29621,
5217,MYRTLE COVE LN,HOLLYWOOD,SC,29449,
11048,WATSON DR,SENECA,SC,29672,
2844,GIRARD DR,SUMTER,SC,29150,
162,AYLESBURY RD,GOOSE CREEK,SC,29445,
23,SPYGLEN WAY,Greenville,SC,29651,
145,WYNNSUM TRL,LEXINGTON,SC,29073,
,ELKS PARK RD,ROCK HILL,SC,,2
811,ROGERS DR,Myrtle Beach,SC,29577,
1103,WHITEHALL RD,ANDERSON,SC,29625,
1505,W  PALMETTO ST,FLORENCE,SC,29501,
113,WHETSTONE ST,NORTH,SC,29112,
220,STONEY CREEK DR,Greenville,SC,29607,
179,MACK ST,GASTON,SC,29053,
2233,RICHMOND HILLS DR,FLORENCE,SC,29505,
2112,EBINPORT RD,ROCK HILL,SC,29732,
110,ASHLEY DR,PELZER,SC,29669,
163,CHRISTIAN DR,LAURENS,SC,29360,
2,SOUTHWOOD PARK DR,SOUTHWOOD PARK,SC,29926,
121,MCIVER,CHERAW,SC,29520,
1163,RUSSELL ST,ORANGEBURG,SC,29115,
937,SADDLE RIDGE RD,TEGA CAY,SC,29708,
13,LENOX LN, ,SC,29926,
509,CLEARVIEW DR,SENECA,SC,29672,
1527,HAZEL ST,TEGA CAY,SC,29708,
1065,MAIN ST,Charleston,SC,29407,
130,CYPRESS HILL LN,MONCKS CORNER,SC,29461,
301,CHURCH ST,CLOVER,SC,29710,
733,DECK RD,GRAY COURT,SC,29645,
23,CROUCH,KINARDS,SC,29355,
110,WILLOW WINDS DR,COLUMBIA,SC,29210,
123,WOODVIEW DR,LAURENS,SC,29360,
515,WATKINS DR,PENDLETON,SC,29670,
1630,TAVELLE PLANTATION DR,BEECH ISLAND,SC,29842,
602,LAKEWOOD LN,ANDERSON,SC,29625,
83,LINE ST,Charleston,SC,29403,
125,JEFFERSON RD,WEST UNION,SC,29696,
116,PAMPUS DR,ORANGEBURG,SC,29115,
5201,BROAD ST,Loris,SC,29569,
6114,GREEN MEADOW DR,Conway,SC,29527,
250,SEVEN FARMS DR,Charleston,SC,29492,
2116,BERRY FARM RD,UNION,SC,29379,
385,DEERFIELD LINKS DR,Surfside Beach,SC,29575,
11,LTD,NEWBERRY,SC,29108,
336,CARLY LN,ROCK HILL,SC,29732,
633,QUEENS PARK LOOP,SENECA,SC,29678,
1517,MAIN ST S,Greenwood,SC,29646,
229,PROJECT RD,WARRENVILLE,SC,29851,
210,E PUBLIC SQ,LAURENS,SC,29360,
,MCGEE RD,ROCK HILL,SC,29732,
102,MEADOWBROOK DR,Greenville,SC,29662,
1,S FOREST BEACH DR,BEACH HOUSE,SC,29928,
1025,JESSAMINE TRL,SUMTER,SC,29150,
398,BENTON RD,BELTON,SC,29627,
1270,FALLINGWATER LN,SUMTER,SC,29154,
46,PEACHTREE ST,CLINTON,SC,29325,
17,GRAY FOX TRL,Greenville,SC,29673,
730,MARIGOLD ST,SUMTER,SC,29150,
130,GREYSTONE CIR,EUTAWVILLE,SC,29048,
3069,MOONLIGHT DR,Charleston,SC,29414,
122,S  COIT ST,FLORENCE,SC,29501,
111,SUFFOLK CT,Greenville,SC,29650,
3926,ST IVES RD,Myrtle Beach,SC,29588,
329,SULLIVAN ST,County,SC,29649,
226,WITHERS LN,Summerville,SC,29456,
103,DOMINION DR,ORANGEBURG,SC,29118,
649,FAIR SPRING DR,Charleston,SC,29414,
728,MY WAY LN,SENECA,SC,29678,
1370,CAMERON RD,YORK,SC,29745,
157,W WATERS EDGE LN,WEST UNION,SC,29696,
3509,POND BRANCH RD,LEESVILLE,SC,29070,
253,S  MCQUEEN ST,FLORENCE,SC,29501,
451,DUBLIN RD,Greenville,SC,29615,
103,HARVEY AV,GOOSE CREEK,SC,29445,
718,DOVE HAVEN LN,Myrtle Beach,SC,29579,
42,SPARWHEEL LN, ,SC,0,
21,LEANN CT,AIKEN,SC,29801,
232,OAK TURN LN,GASTON,SC,29053,
19,CARL ST,Greenville,SC,29687,
425,WALLACE WAY,LEXINGTON,SC,29073,
2983,HUT RD,JOHNS ISLAND,SC,29455,
1,GREEN ST,ORANGEBURG,SC,29115,
134,NICOLE CT,Greenwood,SC,29653,
303,BLUE SHADOWS CT,SUMMERVILLE,SC,29486,
0,STILTON RD,ORANGEBURG,SC,29115,
110,EASTMARCH DR,LEXINGTON,SC,29073,
9132,SMYRNA CHURCH,PAGELAND,SC,29728,
308,CANEWOOD PL,Greenville,SC,29662,
230,Bill Salley Rd,Unspecified,SC,29115,
255,GUATEMALA LN,WINDSOR,SC,29856,
502,MARTIN RD,ANDERSON,SC,29626,
1077,EDENBROOKE CIR,ANDERSON,SC,29621,
233,WILDWOOD AVE,SUMTER,SC,29154,
6,BOLIVAR ST,GOOSE CREEK,SC,29445,
214,BENTLEY DR,BELTON,SC,29627,
202,N SUBER RD,Greenville,SC,29651,
2415,AUDUBON DR,HANAHAN,SC,29410,
5018,WEATHERWOOD DR,North Myrtle Beach,SC,29582,
189,SCHOOLSIDE DR,ROCK HILL,SC,29730,
719,NATIONS CT,ROCK HILL,SC,29730,
19,MYRTLE BANK RD, ,SC,29926,
11,BRIGHTHAVEN CT,Greenville,SC,29681,
1776,SALUDA ST,ROCK HILL,SC,29730,
4060,HARTLAND ST,Charleston,SC,29414,
218,JANICE ST,GOOSE CREEK,SC,29445,
13418,SNIDERS HWY,ISLANDTON,SC,29929,
6058,BEAR BLUFF RD,Conway,SC,29526,
2011,HWY 72 W,Greenwood,SC,29649,
647,OLDHAM LN,ROCK HILL,SC,29732,
4230,ELEANOR DR,SUMTER,SC,29154,
310,KELLEYBRIDGE RD,MCBEE,SC,29101,
108,BROCKMAN DR,Greenville,SC,29662,
712,CONSTANCE WAY,ROCK HILL,SC,29730,
811,WOODSTONE DR,FLORENCE,SC,29501,
3948,PASTURE RD,Aynor,SC,29511,
7026,BYRNES LN,Myrtle Beach,SC,29588,
,CUTTER POINT DR,LAKE WYLIE,SC,29710,303
156,DARLINGTON AVE,Charleston,SC,29403,
346,RIVER POINT RD,LAKE WYLIE,SC,29710,
851,FIVE FRIENDS RD,HARTSVILLE,SC,29550,
150,STAUNTON BRIDGE RD,Greenville,SC,29611,
5000,HARBOUR LAKE DR,GOOSE CREEK,SC,29445,
,MAIN ST  E,ROCK HILL,SC,29730,121
1341,TURKEY RIDGE RD,Surfside Beach,SC,29575,
4336,DORSEY DR,SUMTER,SC,29154,
1300,BOILING SPRINGS RD,Greenville,SC,29650,
4308,PAMPLICO HWY,FLORENCE,SC,29505,26
121,FALLS DR,WESTMINSTER,SC,29693,
627,MAXIE DR,ANDERSON,SC,29624,
434,HARBOR HEIGHTS DR,LEXINGTON,SC,29072,
4517,THOMAS ST,Myrtle Beach,SC,29588,113
6276,SOCIETY HILL,SOCIETY HILL,SC,29593,
105,FAIRWAY LN,WESTMINSTER,SC,29693,
5964,OAKRIDGE RD,LAKE WYLIE,SC,29710,
530,PENNYFIELDS LN,CLOVER,SC,29710,
3118,JANIE GLYMPH GOREE BLVD,CARLISLE,SC,29031,
1011,BALD CYPRESS DR,MONCKS CORNER,SC,29461,
1205,CREEK STONE WAY,HANAHAN,SC,29410,
,TRADD ST,Charleston,SC,29401,
538,PINEBERRY CT,WEST COLUMBIA,SC,29170,
119,EVERGREEN MAGNOLIA AV,GOOSE CREEK,SC,29445,
130,TALON DR,Conway,SC,29527,
20,WEN LE CT E,SUMTER,SC,29150,
7034,PRICKLY PEAR CT,AIKEN,SC,29801,
809,COOLEY BRIDGE RD,Greenville,SC,29669,
792,SUMMERWIND CIR,EDISTO BEACH,SC,29438,
45,HOLIDAY ACRES,PROSPERITY,SC,29127,
5,BAYSHORE BLVD,GOOSE CREEK,SC,29445,
108,NEWLAND RD,TOWNVILLE,SC,29689,
103,SCHOOL ST,Greenville,SC,29651,112
5,HOLLEY LN,Greenville,SC,29611,
114,CHRISTIAN,CHERAW,SC,29520,
7435,AUGUSTA RD,Greenville,SC,29673,
102,ALDRIDGE DR,Greenville,SC,29607,
1315,N  LAKE DR,LEXINGTON,SC,29072,
34,GLENAIRE DR,Greenville,SC,29650,
100,DUNLOP DR,WESTMINSTER,SC,29693,
155,OILERS DR,EUTAWVILLE,SC,29048,
2621,SCARECROW WAY,Myrtle Beach,SC,29579,
0,RIVER DR,ROWESVILLE,SC,29133,
190,CARVER RD,WESTMINSTER,SC,29693,
1119,VALLEY GRN,Greenville,SC,29662,
4371,LANDING RD,Little River,SC,29566,
310,PINE,PAGELAND,SC,29728,
4077,BLACK HWY,SMYRNA,SC,29743,
117,GORDON ST,Charleston,SC,29403,
205,VENUS CT,EASLEY,SC,29642,
8815,SALLEY RD,NORTH,SC,29112,
1308,BLACK TOM RD,MONCKS CORNER,SC,29461,
334,PINEHAVEN DR,TILLMAN,SC,29943,
3308,DEERWOOD TRL,ANDERSON,SC,29624,
149,LIGHTHOUSE RD,CAMP HILTON HEAD,SC,29928,
2,JUNKET, ,SC,29928,
,WOODCREST LN,GASTON,SC,29053,
2822,WILSHIRE CT,FLORENCE,SC,29505,
461,THORNRIDGE RD,UNION,SC,29379,
2420,TINDAL RD,SUMTER,SC,29150,
501,TREE TOP LN,Myrtle Beach,SC,29588,
450,E CLARK ST,PINEWOOD,SC,29125,
706,CONFEDERATE CIR,Greenville,SC,29687,
3712,ANGELUS,CHESTERFIELD,SC,29709,
2322,EDDINE DR,WEST COLUMBIA,SC,29169,
1328,UNITED DR,HUGER,SC,29450,
657,RED TIP CIR,FLORENCE,SC,29505,
7211,ASSEMBLY VIEW CIR,Greenville,SC,29611,
115,PRICE ST,LAURENS,SC,29360,
340,W MILL ST,GRAY COURT,SC,29645,
7106,FREEDOM RD,BRANCHVILLE,SC,29432,
6,FOXWORTH CT,Greenville,SC,29680,
93,B MONTAGUE RD,Greenville,SC,29617,
316,CARNAHAN DR,SPARTANBURG,SC,29306,
940,TIFFANY LN,North Myrtle Beach,SC,29582,
1127,UNITED DR,HUGER,SC,29450,
1740,BEECHCREEK RD,LEXINGTON,SC,29072,
3314,VAUGHN ST,ANDERSON,SC,29624,
260,UNION CHURCH,McBEE,SC,29101,
1074,ENGLEMANN OAK DR,Myrtle Beach,SC,29579,
1397,HIGHWAY 97,SHARON,SC,29742,
4935,MEADOW ST,Loris,SC,29569,
508,PLYMOUTH PASS DR,LEXINGTON,SC,29072,
417,GARRON CT,Myrtle Beach,SC,29579,
170,FIREHOUSE RD,PINEVILLE,SC,29468,
310,75TH AVE N,Myrtle Beach,SC,29572,
1549,N  SIERRA RANGE,FLORENCE,SC,29501,
1962,ESSEX FARMS DR,Charleston,SC,29414,
458,GRIGGS RD,CLOVER,SC,29710,
,PADDOCK CLUB LN,FORT MILL,SC,29715,102
165,BOISE RD,ORANGEBURG,SC,29118,
132,WHISPERING GLEN CIR,WEST COLUMBIA,SC,29170,
1175,BATES CROSSING RD,Greenville,SC,29690,
1564,DR BOYLSTON RD,SALLEY,SC,29137,
5626,LITTLE RIVER NECK RD,North Myrtle Beach,SC,29582,
128,FOX GLOVE LN,COLUMBIA,SC,29210,
146,WALTER WILSON RD,BELTON,SC,29627,
180,PABLO LN,JACKSON,SC,29831,
918,ROUNDTREE RD,EFFINGHAM,SC,29541,
306,21ST AVE S,Myrtle Beach,SC,29577,
321,HORSEMAN DR,SENECA,SC,29672,
7105,YOUNG ST,REMBERT,SC,29128,
1416,SLATON RD,TOWNVILLE,SC,29689,
1111,CHECKERBERRY ST,Longs,SC,29568,
3213,OLD CAMP LONG RD,AIKEN,SC,29805,
9,B HENDERSON AVE,Greenville,SC,29605,
3621,DOGWOOD,NEWBERRY,SC,29108,
312,DAVIS ST,CLINTON,SC,29325,
368,SINGING PINES RD,MOUNTVILLE,SC,29370,
