NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
0.0,FM 2351,Houston,TX,77546,
6757.0,UNDERHILL ST,Houston,TX,77092,
5124.0,PINEMONT PL,Houston,TX,77092,
4825.0,SOUTH FWY,FORT WORTH,TX,76115,
3223.0,LAURA LN,Statewide-Partial,TX,76513,
2307.0,PEACOCK DR,Statewide-Partial,TX, ,
1196.0,LAKE C R 248,Statewide-Partial,TX,79512,
2869.0,FM 1701,Statewide-Partial,TX,0,
1016.0,LYNN ST,Statewide-Partial,TX, ,
5186.0,CR 868D PRIVATE,Statewide-Partial,TX,77422,
15415.0,KATY FWY,Houston,TX,77094,
15705.0,MONONA CV,AUSTIN,TX,78717,
3120.0,PHILLIP DR,HURST,TX,76054,
1312.0,DECATUR CT,LEANDER,TX,78641,
3100.0,JEANETTA ST,Houston,TX,77063,
125.0,SHERWOOD DR,SAN MARCOS,TX,78666,
2604.0,CHETCO DR,AUSTIN,TX,78754,
1516.0,BAY AREA BLVD,Houston,TX,77058,
5724.0,COLORADO CT,HALTOM CITY,TX,76137,
3011.0,VOLLMER RD,Houston,TX,77092,
5502.0,LEDESMA RD,AUSTIN,TX,78721,
621.0,HALE ST, ,TX, ,
9130.0,SALLYS WAY,Statewide-Partial,TX,76009,
120.0,PINE VALLEY DR,Statewide-Partial,TX,76449,
15019.0,WOODHORN DR,Houston,TX,77062,
16749.0,ROCKY RIDGE RD,AUSTIN,TX,78734,
945.0,W   IH 10 FR,SCHULENBURG,TX,78956,
3314.0,BERKNER DR,Garland,TX,75044,
424.0,MARTIN,BONHAM,TX,75418,
2023.0,TREASURE MOUNTAIN DR,UNINCORPORATED,TX,77388,
107.0,NW MAIN ST,ENNIS,TX,75119,
267.0,SAGE RD,BASTROP,TX,78602,
65.0,SCEPTER RIDGE,SUGAR LAND,TX,77498,
633.0,DEEP ELM LN,Statewide-Partial,TX,76449,
5437.0,GARDEN CIR,ACTON,TX,76049,
11393.0,FM 775,LA VERNIA,TX,78121,
12763.0,FM 196,Statewide-Partial,TX,0,
1617.0,CATTLE TRL,AUSTIN,TX,78748,
1511.0,E STROKER RD,UNINCORPORATED,TX,77532,
7602.0,WINKLE WOOD LN,UNINCORPORATED,TX,77086,
9802.0,RUSTIC ROCK RD,LA PORTE,TX,77571,
643.0,C R 494,Statewide-Partial,TX,76444,
2992.0,AUSTIN BREEZE LN,LEAGUE CITY,TX,77573,
3215.0,PLUTO ST,Statewide-Partial,TX, ,
1402.0,SCHARPE ST,Houston,TX,77023,
3725.0,CHENAULT ST,FORT WORTH,TX,76111,
4222.0,HICKOK LN,HOUSTON,TX,77047,
4435.0,ADONIS DR,UNINCORPORATED,TX,77373,
205.0,E  PEARCE ST,Houston,TX,77520,
3703.0,BEVERLY LN,ARLINGTON,TX,76015,
10026.0,WOODICO CT,UNINCORPORATED,TX,77038,
1726.0,PEBBLE BEACH DR, ,TX,75067,
10351.0,STAN BROOK DR,UNINCORPORATED,TX,77089,
621.0,GRIGGS AVE,FORT WORTH,TX,76103,
5417.0,FURSMAN AVE,FORT WORTH,TX,76114,
710.0,DUNN ST,WAXAHACHIE,TX,75165,
13119.0,2ND ST,Statewide-Partial,TX, ,
513.0,CARTER ST,WHITEWRIGHT,TX, ,
13006.0,ESPLANADE ST,AUSTIN,TX,78727,
423.0,E CEDAR ST,SEGUIN,TX,78155,
21.0,FAIR OAKS ST,LEANDER,TX,78641,
3309.0,E FRESNO AVE,HIDALGO,TX, ,
6305.0,HERGOTZ LN,AUSTIN,TX,78742,
10027.0,RED WOLF LN,UNINCORPORATED,TX,77064,
2718.0,BOMAR AVE,FORT WORTH,TX,76103,
1502.0,OAK DR,Statewide-Partial,TX,78572,
1844.0,CAPRI LN,Houston,TX,77586,
8601.0,FM 3237,DRIFTWOOD,TX,78619,
8402.0,REBAWOOD DR,Houston,TX,77346,
158.0,W  FM 544,Statewide-Partial,TX,75094,
132.0,ERSKINE FERRY RD,SEGUIN,TX,78155,
10915.0,DOVE CREEK CIR,Houston,TX,77086,
900.0,THORNBERRY DR,MCKINNEY,TX,75071,
103.0,N  AVE L,Statewide-Partial,TX,79521,
1311.0,DEERFIELD RD,UNINCORPORATED,TX,77406,
3503.0,FRESHMEADOWS DR,HOUSTON,TX,77063,
3814.0,GREAT SPRINGS CT,UNINCORPORATED,TX,77494,
102.0,FIELDWOOD CT,Statewide-Partial,TX,75126,
2615.0,29TH ST N,TEXAS CITY,TX,77590,
8621.0,SEA ASH CIR,Round Rock,TX,78681,
3905.0,EDGEBROOK DR,Houston,TX,77521,
3606.0,COTTAGE LAKE CT,UNINCORPORATED,TX,77498,
3413.0,CONWAY ST,FORT WORTH,TX,76111,
11716.0,PALM GRV,MERCEDES,TX, ,
2607.0,TREEVIEW DR,ARLINGTON,TX,76016,
15130.0,PASO REAL DR,Houston,TX,77083,
0.0,PERSIMMON,UNINCORPORATED,TX,77520,
403.0,LAGUNA VISTA DR,Statewide-Partial,TX,75165,
18610.0,MORGANS FOREST LN,Houston,TX,77449,
400.0,S 25TH ST,COPPERAS COVE,TX,76522,
208.0,SERPENTINE LN,Williamson,TX,76537,
4715.0,PRINCETON ST,AMARILLO,TX,79109,
5900.0,FENCE ROW,AUSTIN,TX,78744,
708.0,PARK MEADOW LN,MCKINNEY,TX,75071,
4806.0,PILGRIM HARBOR DR,UNINCORPORATED,TX,77546,
20503.0,BLACK SPUR CT,UNINCORPORATED,TX,77406,
3008.0,HEMPHILL ST,FORT WORTH,TX,76110,
1101.0,EMERALD AVE,Statewide-Partial,TX, ,
6203.0,NICOLE CT,ARLINGTON,TX,76002,
5218.0,HOPEWELL DR,Garland,TX,75043,
202.0,EVERGREEN,Eddy,TX,76524,
1913.0,BELZISE TERR,FORT WORTH,TX,76104,
819.0,WHITNEY RD,SHERMAN,TX, ,
6100.0,CHOLLA DR,FORT WORTH,TX,76112,
2216.0,W 34TH ST,HOUSTON,TX,77018,
1218.0,FILL HOUSE CT,Rosenberg,TX,77469,
2212.0,FRANCIS ST,Houston,TX,77004,
10525.0,CRESCENDO LN,AUSTIN,TX,78747,
13214.0,VERDUN DR,Houston,TX,77049,
3823.0,NW STATE HIGHWAY 11,Texoma-Counties,TX,75418,
16718.0,TRANQUILITY PARK DR,UNINCORPORATED,TX,77429,
1109.0,PORT AU PRINCE DR,ARLINGTON,TX,76012,
4810.0,DANFIELD DR,Houston,TX,77053,
1409.0,HARROP AVE,Houston,TX,77506,
1528.0,SYRACUSE DR,Texoma-Counties,TX,75495,
1219.0,EL PRESIDENTE DR,Statewide-Partial,TX, ,
1602.0,GARTH RD,Houston,TX,77520,
11419.0,W BELLFORT ST,HOUSTON,TX,77099,
400.0,PVR 949,Williamson,TX,78641,
165.0,YAUPON DR,Williamson,TX,78634,
5404.0,DALLAS AVE,FORT WORTH,TX,76112,
1620.0,OXFORD DR,MANSFIELD,TX,76063,
1403.0,MILAM, ,TX, ,
232.0,KNOX ST,HOUSTON,TX,77007,
1700.0,WINDSOR RD,Statewide-Partial,TX,77422,
402.0,JASMINE LN,Statewide-Partial,TX,75165,
349.0,VZ COUNTY ROAD 3442,Statewide-Partial,TX,75169,
4624.0,ELIZABETH ST,Statewide-Partial,TX,0,92.0
5517.0,KNOLLRIDGE DR,Garland,TX,75043,
2619.0,GILLIOM DR,Houston,TX,77084,
2275.0,FM 933,Statewide-Partial,TX,76692,
2218.0,BUFFALO GAP,Williamson,TX,78641,
3006.0,ELM AVE,Statewide-Partial,TX,77414,
8110.0,BROKEN BRANCH DR,Round Rock,TX,78681,
11426.0,FAIRPOINT DR,Houston,TX,77099,
15118.0,PEACHMEADOW LN,UNINCORPORATED,TX,77530,
24.0,COUNTY ROAD 365,Statewide-Partial,TX,76240,
8202.0,TARBELL RD,HOUSTON,TX,77034,
1001.0,RHAMES AVE,BRENHAM,TX,77833,
9122.0,MONARCH FIELD LN,Houston,TX,77433,
2701.0,BROWNIE CAMPBELL RD,UNINCORPORATED,TX,77038,
6709.0,OVERBROOK DR,PARKER,TX,75002,
109.0,INDUSTRIAL BLVD,Williamson,TX,78613,
113.0,BALSAM ST,Williamson,TX,78634,
214.0,WESTBURY LN,Williamson,TX,78633,
13425.0,CHITTAMWOOD LN,FRISCO,TX,75035,
709.0,COVENT GARDEN PL,MIDLOTHIAN,TX,76065,
202.0,WEEPING OAKS LN,Houston,TX,77388,
201.0,N   CENTER ST,Statewide-Partial,TX,76427,
1.0,CORA CIR,NEW BRAUNFELS,TX,78130,
144.0,RIDGE TOP DR,Statewide-Partial,TX,76078,
11807.0,CASTLE RIDGE DR,HOUSTON,TX,77077,
1152.0,TOWER RD,SEGUIN,TX,78155,
910.0,SLATE VALLEY LN,Houston,TX,77373,
1413.0,S 17TH AVE,EDINBURG,TX, ,
3213.0,TITANIC,EL PASO,TX,79904,
3301.0,E DIVISION ST,ARLINGTON,TX,76011,
6762.0,COUNTY ROAD 890,Statewide-Partial,TX,75002,
2555.0,CENTRAL PKWY,HOUSTON,TX,77092,
5902.0,WATFORD BND,Rosenberg,TX,77471,
402.0,LAKESHORE DR,Houston,TX,77586,
301.0,W NORTHSIDE DR,FORT WORTH,TX,76164,
3917.0,FREDERICK  ST,Waco,TX,76707,
10610.0,DEERWOOD RD,HOUSTON,TX,77042,
701.0,VIENTO TROPICAL ST,PALMVIEW,TX, ,
5870.0,FLAMINGO DR,HOUSTON,TX,77033,
209.0,S  MAIN ST,Statewide-Partial,TX,76449,
3209.0,TAMARACK LN,DENTON,TX,76226,
5045.0,BEDFORDSHIRE DR,FORT WORTH,TX,76135,
11115.0,BROOK MILL CT,UNINCORPORATED,TX,77065,
