NUMBER,STREET,CITY,STATE,POSTCODE,UNIT
4860,W 4700  S,WEST VALLEY CITY,UT,84118,208
1210,E COLLEGE ST,MILLCREEK,UT,84117,
237,W 8600  S,MIDVALE,UT,84047,
1414,W 550  S,SYRACUSE,UT,84015,
4093,W 8370  S,WEST JORDAN CITY,UT,84088,
370,N 100  W,SALINA,UT,84654,
1228,E GORDON LN,WASHINGTON CITY,UT,84780,
90,S ORCHARD DR,CITY OF NORTH SALT LAKE,UT,84054,
1442,CRESCENT RD,PARK CITY (SUMMIT CO),UT,84060,
771,W SERRA WAY,SOUTH JORDAN,UT,84095,
820,S MONROE BLVD,OGDEN CITY,UT,84404,
280,W 1550  N,BOUNTIFUL,UT,84010,
873,S COUNTRY LN,FARMINGTON,UT,84025,
15,E LOST CREEK LN,MURRAY,UT,84107,
704,S UTAH VALLEY DR,AMERICAN FORK,UT,84003,
14747,S DRAPER POINTE WAY,DRAPER CITY (SL CO),UT,84020,306
555,S MAIN ST,MOAB CITY,UT,84532,
1332,S GLENEAGLES DR,SYRACUSE,UT,84075,
1740,E MAIN ST,GREEN RIVER,UT,84525,201
772,W RIDER DR,KANAB CITY,UT,84741,
5057,W SLATE ST,HERRIMAN TOWN,UT,84096,
645,S BULLION CANYON RD,MARYSVALE,UT,84750,
1525,S KENTUCKY DERBY WAY,KAYSVILLE,UT,84037,
1878,W 2185  S,WOODS CROSS CITY,UT,84087,
365,N 75  E,CITY OF NORTH SALT LAKE,UT,84054,
535,SADDLE VIEW WAY,PARK CITY (SUMMIT CO),UT,84060,22
4608,S WESTVIEW DR,MILLCREEK,UT,84124,
1845,W FARR WEST DR,FARR WEST CITY,UT,84404,
2339,W SILVER MEADOW WAY,WEST JORDAN CITY,UT,84088,
1497,S STAGHORN ST,TOQUERVILLE CITY,UT,84774,
257,N 1300  E,LAYTON,UT,84040,
3383,W BEAR CANYON LN,CEDAR HILLS,UT,84062,
195,E 100  N,PANGUITCH,UT,84759,
5216,W SUNSHINE DR,WEST VALLEY CITY,UT,84120,
268,W BRIDLE LN,STANSBURY PARK,UT,84074,
863,N MAPLE TREE CT,SALT LAKE CITY,UT,84116,
1983,S 2050  W,SYRACUSE,UT,84075,
495,E 700  N,DUCHESNE,UT,84021,
407,E 4140  S,MILLCREEK,UT,84107,
1025,S MAIN ST,SALT LAKE CITY,UT,84111,
181,W 1675  N,LAYTON,UT,84041,
794,E 400  S,AMERICAN FORK,UT,84003,
1030,W 2600  N,LAYTON,UT,84041,
426,E NICHOLS CANYON RD,CEDAR CITY,UT,84721,
385,N 725  W,OREM,UT,84057,
119,S SNOWMOBILE RD,BRIAN HEAD CITY,UT,84719,
493,W 300  S,SPANISH FORK,UT,84660,
3672,W 4310  S,WEST VALLEY CITY,UT,84120,
7049,S BROMLEY RD,WEST JORDAN CITY,UT,84084,
266,E 4350  S,WASHINGTON TERRACE,UT,84405,
186,E 1600  S,FARMINGTON,UT,84025,
1331,E ROYAL TROON DR,MILLCREEK,UT,84124,
2442,W 4975  S,ROY CITY,UT,84067,
2173,W 1710  N,ST GEORGE CITY,UT,84770,
2521,S HARTFORD ST,SALT LAKE CITY,UT,84106,
1522,S 870  W,PROVO,UT,84601,
2751,E 1400  S,SPANISH FORK,UT,84660,
113,E HILLSIDE AVE,SALT LAKE CITY,UT,84103,
574,E 1420  N,TOOELE,UT,84074,
331,E 4450  N,PROVO,UT,84604,
2162,S POLK AVE,OGDEN CITY,UT,84401,
10906,S PAMPAS DR,SANDY CITY,UT,84094,
2010,S 2500  E,SALT LAKE CITY,UT,84108,
2059,W 1800  N,ST GEORGE CITY,UT,84770,
1829,N 2000  W,CLINTON,UT,84015,
300,S 1600  E,PRICE,UT,84501,2826
1230,S 1100  W,WOODS CROSS CITY,UT,84087,
1042,E 3000  S,DANIEL ,UT,84032,
965,N 2500  W,HURRICANE CITY,UT,84737,
4725,S HOLLADAY WOOD LN,MILLCREEK,UT,84117,
355,E MAIN ST,CASTLE DALE,UT,84513,122
262,W DANIEL DR,OREM,UT,84057,
664,S HAYLIE LN,TOOELE,UT,84074,
215,E 200  S,NEPHI,UT,84648,
5346,S JORDAN CANAL RD,TAYLORSVILLE CITY,UT,84129,
4601,W 14000  N,CORNISH,UT,84308,
360,S 500  W,ESCALANTE,UT,84726,
1203,N 1800  W,LEHI,UT,84043,
1214,CANYON SPRINGS RD,SPRINGDALE,UT,84767,
3851,W COBBLE RIDGE DR,WEST JORDAN CITY,UT,84084,
51,N 1000  W,HURRICANE CITY,UT,84737,
3224,S 2045  E,MILLCREEK,UT,84109,
187,W GURR WELL RD,BRIAN HEAD CITY,UT,84719,
1732,W WARM RIVER DR,ST GEORGE CITY,UT,84790,
3504,W 5735  S,TAYLORSVILLE CITY,UT,84129,
287,W 1140  N,LOGAN CITY,UT,84341,
6426,S TAMRA DR,TAYLORSVILLE CITY,UT,84129,
8100,S WILLOW STREAM DR,COTTONWOOD HEIGHTS,UT,84093,
5168,S MOHAWK LN,OGDEN CITY,UT,84403,
165,S 250  E,CENTERFIELD,UT,84622,
1176,E 470  S,PLEASANT GROVE,UT,84062,
1455,S REGENT PARK RD,HURRICANE CITY,UT,84737,
3056,MINUTEMAN WAY,CLEARFIELD,UT,84056,
550,N MAIN ST,LOGAN CITY,UT,84321,
2081,E PINNACLE TERRACE WAY,COTTONWOOD HEIGHTS,UT,84121,101
13832,S BELLE ISIS BAY,HERRIMAN TOWN,UT,84096,
525,S RAY ST,GARDEN CITY,UT,84028,
3980,S 700  E,MILLCREEK,UT,84107,24
